Player,T.RAB,TBF,T.4s,T.6s,T.50s,T.100s,Avg.Run,Avg.SR,RF.50s,RF.100s,T.Win,T.Loss,Unique.Opponents,Venues
S Badrinath,1441,1185,154,28,5,0,31.32608695652174,121.60337552742615,0.07692307692307693,0.0,34,31,9,1
K Goel,218,223,17,9,0,0,16.76923076923077,97.75784753363229,0.0,0.0,7,9,6,1
JR Hopes,417,305,49,11,4,0,26.0625,136.72131147540983,0.21052631578947367,0.0,7,12,9,1
KC Sangakkara,1687,1361,195,27,10,0,25.953846153846154,123.9529757531227,0.14705882352941177,0.0,30,38,10,1
Yuvraj Singh,2754,2096,218,149,7,0,25.738317757009344,131.39312977099235,0.05555555555555555,0.0,57,69,14,1
SM Katich,241,179,26,8,2,0,26.77777777777778,134.6368715083799,0.18181818181818182,0.0,5,6,7,1
IK Pathan,1150,918,88,38,1,0,23.46938775510204,125.2723311546841,0.012195121951219513,0.0,32,50,11,1
T Kohli,11,19,0,1,0,0,3.6666666666666665,57.89473684210527,0.0,0.0,2,1,3,1
YK Pathan,3222,2208,263,161,7,0,30.685714285714287,145.92391304347828,0.0457516339869281,0.0,79,74,15,1
SR Watson,3880,2778,377,190,13,2,31.29032258064516,139.6688264938805,0.09219858156028368,0.014184397163120567,74,67,15,1
M Kaif,259,245,22,6,0,0,16.1875,105.71428571428572,0.0,0.0,15,7,9,1
DS Lehmann,18,17,3,0,0,0,9.0,105.88235294117648,0.0,0.0,1,1,2,1
RA Jadeja,2959,2232,215,107,1,0,27.91509433962264,132.57168458781362,0.005555555555555556,0.0,88,92,17,1
M Rawat,55,66,4,1,0,0,11.0,83.33333333333334,0.0,0.0,4,7,6,1
D Salunkhe,33,24,5,0,0,0,33.0,137.5,0.0,0.0,1,2,3,1
SK Warne,198,209,14,6,0,0,11.647058823529411,94.73684210526315,0.0,0.0,10,17,8,1
SK Trivedi,42,59,3,1,0,0,6.0,71.1864406779661,0.0,0.0,2,12,7,1
G Gambhir,4217,3339,492,59,23,0,32.9453125,126.2952979934112,0.152317880794702,0.0,82,69,14,1
V Sehwag,2728,1706,334,106,12,2,28.71578947368421,159.90621336459554,0.11538461538461539,0.019230769230769232,52,52,11,1
S Dhawan,6769,5235,768,153,29,0,36.19786096256684,129.30276981852913,0.13122171945701358,0.0,116,105,19,1
L Ronchi,34,34,6,1,0,0,11.333333333333334,100.0,0.0,0.0,0,5,5,1
ST Jayasuriya,768,517,84,39,4,0,27.428571428571427,148.54932301740814,0.13333333333333333,0.0,15,15,7,1
DJ Thornely,39,49,2,2,0,0,13.0,79.59183673469387,0.0,0.0,3,1,4,1
RV Uthappa,4954,3725,481,182,17,0,28.30857142857143,132.993288590604,0.08629441624365482,0.0,89,108,17,1
PR Shah,92,86,9,2,0,0,11.5,106.9767441860465,0.0,0.0,1,8,5,1
AM Nayar,672,555,55,20,0,0,18.666666666666668,121.0810810810811,0.0,0.0,15,35,10,1
SM Pollock,147,109,12,8,0,0,18.375,134.8623853211009,0.0,0.0,1,7,6,1
Harbhajan Singh,833,589,79,42,1,0,16.333333333333332,141.42614601018676,0.011363636363636364,0.0,34,54,13,1
S Chanderpaul,25,31,4,0,0,0,8.333333333333334,80.64516129032258,0.0,0.0,1,2,3,1
LRPL Taylor,1017,798,66,46,2,0,26.763157894736842,127.44360902255639,0.037037037037037035,0.0,24,30,11,1
AC Gilchrist,2069,1450,239,92,9,1,27.586666666666666,142.68965517241378,0.1125,0.0125,36,44,11,1
Y Venugopal Rao,985,816,77,37,2,0,23.452380952380953,120.71078431372548,0.038461538461538464,0.0,14,38,10,1
VVS Laxman,282,261,33,5,1,0,17.625,108.04597701149426,0.05,0.0,7,13,8,1
A Symonds,974,739,74,41,2,0,40.583333333333336,131.7997293640054,0.05555555555555555,0.0,18,18,9,1
RG Sharma,6630,5003,599,281,28,0,30.0,132.52048770737557,0.11155378486055777,0.0,131,120,18,1
SB Styris,131,130,10,3,0,0,18.714285714285715,100.76923076923077,0.0,0.0,3,7,6,1
AS Yadav,49,37,5,2,0,0,9.8,132.43243243243242,0.0,0.0,0,6,5,1
SB Bangar,49,55,1,3,0,0,8.166666666666666,89.0909090909091,0.0,0.0,0,7,5,1
WPUJC Vaas,81,71,2,3,0,0,11.571428571428571,114.08450704225352,0.0,0.0,4,7,5,1
RP Singh,52,71,2,1,0,0,3.7142857142857144,73.23943661971832,0.0,0.0,3,25,9,1
WP Saha,2934,2247,296,87,8,0,24.864406779661017,130.57409879839784,0.055944055944055944,0.0,66,77,18,1
LR Shukla,405,336,33,16,0,0,15.0,120.53571428571428,0.0,0.0,12,21,10,1
DPMD Jayawardene,1808,1432,200,40,5,0,30.64406779661017,126.25698324022345,0.0641025641025641,0.0,37,41,10,1
S Sohal,368,286,34,18,2,0,20.444444444444443,128.67132867132867,0.1,0.0,10,10,10,1
B Lee,124,95,8,8,0,0,13.777777777777779,130.5263157894737,0.0,0.0,6,13,8,1
PP Chawla,624,544,56,20,0,0,11.773584905660377,114.70588235294117,0.0,0.0,30,56,14,1
WA Mota,56,73,2,0,0,0,11.2,76.71232876712328,0.0,0.0,4,4,4,1
Kamran Akmal,128,76,13,8,0,0,32.0,168.42105263157893,0.0,0.0,5,1,4,1
Shahid Afridi,81,45,7,6,0,0,10.125,180.0,0.0,0.0,1,8,6,1
DJ Bravo,1560,1177,120,66,1,0,22.941176470588236,132.54035683942226,0.00909090909090909,0.0,55,55,14,1
MA Khote,24,19,2,1,0,0,12.0,126.3157894736842,0.0,0.0,0,3,3,1
A Nehra,41,57,3,1,0,0,6.833333333333333,71.9298245614035,0.0,0.0,2,15,9,1
GC Smith,739,656,94,9,3,0,28.423076923076923,112.65243902439023,0.10344827586206896,0.0,18,11,8,1
Pankaj Singh,7,12,0,0,0,0,3.5,58.333333333333336,0.0,0.0,1,4,4,1
RR Sarwan,73,74,6,1,0,0,24.333333333333332,98.64864864864865,0.0,0.0,3,1,4,1
S Sreesanth,34,50,6,0,0,0,11.333333333333334,68.0,0.0,0.0,2,10,8,1
VRV Singh,4,2,1,0,0,0,4.0,200.0,0.0,0.0,1,1,2,1
SS Tiwary,1494,1229,111,50,4,0,30.489795918367346,121.56224572823433,0.0547945205479452,0.0,35,38,14,1
DS Kulkarni,104,106,7,2,0,0,13.0,98.11320754716981,0.0,0.0,1,19,9,1
R Vinay Kumar,310,267,21,9,0,0,12.4,116.10486891385767,0.0,0.0,9,33,12,1
AB Agarkar,179,150,13,5,0,0,22.375,119.33333333333334,0.0,0.0,2,16,7,1
M Kartik,113,106,7,1,0,0,18.833333333333332,106.60377358490567,0.0,0.0,3,11,8,1
I Sharma,57,67,4,2,0,0,9.5,85.07462686567165,0.0,0.0,2,19,10,1
AM Rahane,4642,3702,479,103,18,0,31.154362416107382,125.39168017287952,0.10526315789473684,0.0,85,86,17,1
Shoaib Malik,52,46,5,0,0,0,13.0,113.04347826086956,0.0,0.0,2,3,4,1
MK Tiwary,1695,1425,156,40,3,0,29.736842105263158,118.94736842105263,0.03614457831325301,0.0,37,46,12,1
KD Karthik,4843,3512,466,161,16,0,27.674285714285713,137.8986332574032,0.06866952789699571,0.0,113,120,17,1
R Bhatia,342,277,24,13,0,0,11.793103448275861,123.46570397111914,0.0,0.0,11,36,12,1
MF Maharoof,177,120,12,9,0,0,17.7,147.5,0.0,0.0,5,9,6,1
VY Mahesh,15,26,0,0,0,0,7.5,57.692307692307686,0.0,0.0,0,5,4,1
TM Srivastava,8,11,0,0,0,0,8.0,72.72727272727273,0.0,0.0,1,2,3,1
B Chipli,280,248,28,7,0,0,18.666666666666668,112.90322580645163,0.0,0.0,6,15,10,1
DW Steyn,167,157,14,3,0,0,8.35,106.36942675159236,0.0,0.0,5,28,10,1
DB Das,304,251,23,16,0,0,25.333333333333332,121.11553784860558,0.0,0.0,7,15,7,1
MK Pandey,3859,3153,335,111,12,0,29.458015267175572,122.39137329527435,0.0759493670886076,0.0,71,87,15,1
HH Gibbs,886,783,83,31,3,0,28.580645161290324,113.154533844189,0.08333333333333333,0.0,15,21,7,1
DNT Zoysa,11,7,1,0,0,0,11.0,157.14285714285714,0.0,0.0,0,2,2,1
D Kalyankrishna,3,7,0,0,0,0,3.0,42.857142857142854,0.0,0.0,0,1,1,1
SE Marsh,2489,1825,269,78,13,1,40.145161290322584,136.38356164383563,0.18840579710144928,0.014492753623188406,31,38,13,1
SA Asnodkar,423,329,56,10,2,0,23.5,128.57142857142858,0.10526315789473684,0.0,10,9,7,1
Sohail Tanvir,36,29,3,1,0,0,12.0,124.13793103448276,0.0,0.0,4,1,4,1
Salman Butt,193,156,30,2,1,0,27.571428571428573,123.71794871794873,0.14285714285714285,0.0,4,3,6,1
BJ Hodge,1400,1105,122,43,2,0,34.146341463414636,126.69683257918551,0.031746031746031744,0.0,26,37,10,1
Umar Gul,39,17,1,5,0,0,13.0,229.41176470588235,0.0,0.0,2,2,3,1
AB Dinda,26,46,2,0,0,0,2.888888888888889,56.52173913043478,0.0,0.0,0,16,8,1
SP Fleming,196,161,27,3,0,0,21.77777777777778,121.73913043478262,0.0,0.0,3,7,7,1
S Vidyut,145,108,21,3,1,0,18.125,134.25925925925927,0.125,0.0,3,5,5,1
JA Morkel,975,672,61,55,2,0,25.657894736842106,145.08928571428572,0.029850746268656716,0.0,30,37,10,1
AB de Villiers,5181,3355,414,253,18,0,42.467213114754095,154.4262295081967,0.10588235294117647,0.0,75,95,16,1
LPC Silva,40,24,5,1,0,0,20.0,166.66666666666669,0.0,0.0,0,3,3,1
DB Ravi Teja,375,306,35,9,1,0,19.736842105263158,122.54901960784315,0.04,0.0,7,18,9,1
Misbah-ul-Haq,117,79,10,6,0,0,16.714285714285715,148.1012658227848,0.0,0.0,3,5,6,1
YV Takawale,192,172,26,3,0,0,24.0,111.62790697674419,0.0,0.0,3,7,6,1
RR Raje,20,18,1,1,0,0,20.0,111.11111111111111,0.0,0.0,2,3,3,1
PJ Sangwan,26,43,1,0,0,0,3.7142857142857144,60.46511627906976,0.0,0.0,0,14,11,1
Mohammad Asif,3,6,0,0,0,0,1.5,50.0,0.0,0.0,0,2,2,1
GD McGrath,4,5,1,0,0,0,4.0,80.0,0.0,0.0,0,2,2,1
Joginder Sharma,36,30,1,2,0,0,9.0,120.0,0.0,0.0,0,5,4,1
MS Gony,99,70,6,8,0,0,11.0,141.42857142857144,0.0,0.0,4,11,9,1
M Muralitharan,20,29,1,0,0,0,3.3333333333333335,68.96551724137932,0.0,0.0,2,7,5,1
M Ntini,11,18,2,0,0,0,11.0,61.111111111111114,0.0,0.0,0,2,2,1
DT Patil,13,13,1,0,0,0,13.0,100.0,0.0,0.0,0,2,2,1
A Kumble,35,45,3,0,0,0,17.5,77.77777777777779,0.0,0.0,2,13,6,1
S Anirudha,136,109,9,7,1,0,17.0,124.77064220183487,0.08333333333333333,0.0,6,6,6,1
MM Patel,39,40,5,0,0,0,7.8,97.5,0.0,0.0,1,11,9,1
CK Kapugedera,16,22,0,0,0,0,5.333333333333333,72.72727272727273,0.0,0.0,1,2,3,1
A Chopra,53,70,7,0,0,0,10.6,75.71428571428571,0.0,0.0,4,2,5,1
T Taibu,31,26,3,0,0,0,10.333333333333334,119.23076923076923,0.0,0.0,3,0,3,1
J Arunkumar,23,22,5,0,0,0,7.666666666666667,104.54545454545455,0.0,0.0,0,3,3,1
PP Ojha,16,41,0,0,0,0,1.7777777777777777,39.02439024390244,0.0,0.0,4,15,6,1
SP Goswami,293,293,32,3,1,0,15.421052631578947,100.0,0.047619047619047616,0.0,7,14,9,1
SR Tendulkar,2334,1900,296,29,7,0,34.83582089552239,122.84210526315789,0.08974358974358974,0.0,48,30,10,1
U Kaul,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
TM Dilshan,1153,977,140,24,3,0,28.825,118.014329580348,0.06,0.0,33,17,11,1
A Mishra,381,410,31,5,0,0,13.607142857142858,92.92682926829269,0.0,0.0,10,45,13,1
AD Mascarenhas,79,77,5,1,0,0,8.777777777777779,102.59740259740259,0.0,0.0,3,8,8,1
NK Patel,121,117,14,1,1,0,30.25,103.41880341880344,0.16666666666666666,0.0,3,3,6,1
LA Pomersbach,302,236,25,13,0,0,30.2,127.96610169491525,0.0,0.0,9,7,8,1
Iqbal Abdulla,88,79,9,1,0,0,88.0,111.39240506329114,0.0,0.0,3,10,7,1
Younis Khan,3,7,0,0,0,0,3.0,42.857142857142854,0.0,0.0,0,1,1,1
PM Sarvesh Kumar,1,2,0,0,0,0,0.0,50.0,0.0,0.0,0,1,1,1
DP Vijaykumar,1,1,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
Shoaib Akhtar,2,7,0,0,0,0,2.0,28.57142857142857,0.0,0.0,0,1,1,1
Abdur Razzak,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
H Das,2,5,0,0,0,0,2.0,40.0,0.0,0.0,0,1,1,1
DR Smith,2385,1715,245,117,16,0,29.8125,139.067055393586,0.18181818181818182,0.0,46,42,11,1
SD Chitnis,99,88,10,2,0,0,14.142857142857142,112.5,0.0,0.0,4,4,6,1
CRD Fernando,4,3,0,0,0,0,0.0,133.33333333333331,0.0,0.0,0,2,2,1
VS Yeligati,2,2,0,0,0,0,2.0,100.0,0.0,0.0,0,1,1,1
L Balaji,36,46,2,1,0,0,5.142857142857143,78.26086956521739,0.0,0.0,5,8,8,1
A Mukund,19,22,1,0,0,0,9.5,86.36363636363636,0.0,0.0,0,2,1,1
RR Powar,67,63,6,1,0,0,33.5,106.34920634920636,0.0,0.0,3,6,6,1
JP Duminy,2029,1600,126,79,6,0,42.270833333333336,126.8125,0.08,0.0,30,45,12,1
A Flintoff,62,50,5,2,0,0,31.0,124.0,0.0,0.0,1,2,3,1
T Thushara,12,18,0,0,0,0,6.0,66.66666666666666,0.0,0.0,1,3,4,1
JD Ryder,604,447,69,19,3,0,22.37037037037037,135.12304250559285,0.10344827586206896,0.0,10,19,9,1
KP Pietersen,1001,725,91,40,1,0,37.074074074074076,138.06896551724137,0.027777777777777776,0.0,15,21,11,1
T Henderson,11,16,0,1,0,0,11.0,68.75,0.0,0.0,0,2,2,1
Kamran Khan,3,5,0,0,0,0,3.0,60.0,0.0,0.0,0,1,1,1
RS Bopara,531,446,39,16,3,0,31.235294117647058,119.05829596412556,0.13636363636363635,0.0,10,12,8,1
CH Gayle,4997,3271,408,359,22,2,39.976,152.7667380006114,0.15602836879432624,0.014184397163120567,64,77,13,1
MC Henriques,1000,775,87,28,2,0,27.77777777777778,129.03225806451613,0.037037037037037035,0.0,31,23,13,1
R Bishnoi,19,17,1,2,0,0,6.333333333333333,111.76470588235294,0.0,0.0,1,2,3,1
FH Edwards,4,5,0,0,0,0,4.0,80.0,0.0,0.0,2,0,2,1
KV Sharma,351,282,20,17,0,0,14.625,124.46808510638299,0.0,0.0,12,27,13,1
PC Valthaty,505,412,61,20,2,0,22.954545454545453,122.57281553398059,0.08695652173913043,0.0,10,13,10,1
RJ Quiney,103,97,12,3,1,0,14.714285714285714,106.18556701030928,0.14285714285714285,0.0,3,4,5,1
AS Raut,194,167,13,7,0,0,21.555555555555557,116.1676646706587,0.0,0.0,4,12,7,1
Yashpal Singh,47,66,5,0,0,0,11.75,71.21212121212122,0.0,0.0,1,3,3,1
M Manhas,514,463,43,10,0,0,22.347826086956523,111.01511879049677,0.0,0.0,11,27,10,1
AA Bilakhia,69,82,5,0,0,0,13.8,84.14634146341463,0.0,0.0,3,4,4,1
AN Ghosh,7,8,1,0,0,0,3.5,87.5,0.0,0.0,0,2,2,1
BAW Mendis,3,6,0,0,0,0,1.5,50.0,0.0,0.0,0,3,2,1
DL Vettori,121,104,11,2,0,0,17.285714285714285,116.34615384615385,0.0,0.0,4,12,7,1
MN van Wyk,167,128,19,1,1,0,55.666666666666664,130.46875,0.2,0.0,0,5,4,1
RE van der Merwe,159,139,11,8,0,0,14.454545454545455,114.38848920863309,0.0,0.0,6,9,7,1
TL Suman,676,564,55,26,1,0,22.533333333333335,119.8581560283688,0.02564102564102564,0.0,18,21,10,1
Shoaib Ahmed,1,6,0,0,0,0,0.5,16.666666666666664,0.0,0.0,0,3,2,1
GR Napier,15,16,1,0,0,0,15.0,93.75,0.0,0.0,1,0,1,1
KP Appanna,2,3,0,0,0,0,2.0,66.66666666666666,0.0,0.0,1,2,3,1
LA Carseldine,81,67,11,0,0,0,27.0,120.89552238805969,0.0,0.0,3,2,4,1
NV Ojha,1554,1295,121,79,2,0,21.583333333333332,120.0,0.02127659574468085,0.0,42,52,14,1
SM Harwood,9,11,0,0,0,0,0.0,81.81818181818183,0.0,0.0,1,1,2,1
M Vijay,2619,2116,247,91,9,2,28.161290322580644,123.77126654064273,0.08571428571428572,0.01904761904761905,49,56,14,1
SB Jakati,28,29,3,0,0,0,28.0,96.55172413793103,0.0,0.0,1,4,3,1
DA Warner,6567,4615,663,236,45,1,41.563291139240505,142.29685807150597,0.24456521739130435,0.005434782608695652,82,102,19,1
RJ Harris,117,111,6,3,0,0,9.75,105.40540540540539,0.0,0.0,5,16,8,1
D du Preez,10,13,0,0,0,0,10.0,76.92307692307693,0.0,0.0,0,1,1,1
M Morkel,126,90,11,5,0,0,12.6,140.0,0.0,0.0,1,19,10,1
AD Mathews,724,568,44,29,0,0,25.857142857142858,127.46478873239437,0.0,0.0,11,30,9,1
J Botha,409,352,39,5,0,0,20.45,116.19318181818181,0.0,0.0,12,16,11,1
C Nanda,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
SL Malinga,88,96,6,5,0,0,8.0,91.66666666666666,0.0,0.0,5,15,9,1
Mashrafe Mortaza,2,2,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
A Singh,2,10,0,0,0,0,0.5,20.0,0.0,0.0,0,5,4,1
GJ Bailey,663,533,59,19,1,0,25.5,124.39024390243902,0.027777777777777776,0.0,16,20,8,1
AB McDonald,123,96,9,4,0,0,24.6,128.125,0.0,0.0,4,5,6,1
Y Nagar,285,249,20,9,0,0,20.357142857142858,114.45783132530121,0.0,0.0,7,13,9,1
SS Shaikh,6,7,1,0,0,0,0.0,85.71428571428571,0.0,0.0,1,0,1,1
R Ashwin,800,661,61,28,1,0,14.035087719298245,121.02874432677761,0.011235955056179775,0.0,34,55,14,1
Mohammad Ashraful,2,9,0,0,0,0,2.0,22.22222222222222,0.0,0.0,0,1,1,1
CA Pujara,390,382,50,4,1,0,21.666666666666668,102.09424083769633,0.045454545454545456,0.0,12,10,9,1
OA Shah,506,377,34,23,3,0,42.166666666666664,134.21750663129976,0.13636363636363635,0.0,8,14,9,1
Anirudh Singh,63,66,6,1,0,0,15.75,95.45454545454545,0.0,0.0,1,3,4,1
Jaskaran Singh,8,11,0,0,0,0,8.0,72.72727272727273,0.0,0.0,1,3,3,1
AP Tare,339,268,40,11,1,0,14.125,126.49253731343283,0.037037037037037035,0.0,11,16,10,1
AT Rayudu,4348,3366,359,173,15,0,29.37837837837838,129.17409387997623,0.08108108108108109,0.0,103,82,18,1
R Sathish,270,223,22,6,0,0,16.875,121.0762331838565,0.0,0.0,11,13,9,1
R McLaren,159,167,14,1,0,0,19.875,95.20958083832335,0.0,0.0,5,8,8,1
AA Jhunjhunwala,217,207,19,5,0,0,18.083333333333332,104.83091787439614,0.0,0.0,4,11,7,1
P Dogra,127,137,4,5,0,0,15.875,92.7007299270073,0.0,0.0,5,7,7,1
A Uniyal,4,7,0,0,0,0,4.0,57.14285714285714,0.0,0.0,0,2,2,1
MS Bisla,798,678,93,23,3,0,22.166666666666668,117.69911504424779,0.07692307692307693,0.0,16,23,11,1
YA Abdulla,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
EJG Morgan,1406,1114,112,64,4,0,23.83050847457627,126.21184919210053,0.05405405405405406,0.0,32,42,15,1
JM Kemp,26,24,1,1,0,0,13.0,108.33333333333333,0.0,0.0,1,1,2,1
S Tyagi,3,4,0,0,0,0,0.0,75.0,0.0,0.0,0,1,1,1
RS Gavaskar,2,8,0,0,0,0,2.0,25.0,0.0,0.0,0,1,1,1
SE Bond,1,2,0,0,0,0,1.0,50.0,0.0,0.0,0,1,1,1
KA Pollard,3437,2274,221,224,7,0,28.641666666666666,151.1433597185576,0.041666666666666664,0.0,90,78,16,1
S Ladda,0,9,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,1
DP Nannes,4,13,0,0,0,0,4.0,30.76923076923077,0.0,0.0,0,2,2,1
MJ Lumb,278,188,45,6,1,0,27.8,147.87234042553192,0.08333333333333333,0.0,7,5,7,1
DR Martyn,19,24,1,0,0,0,19.0,79.16666666666666,0.0,0.0,0,1,1,1
S Narwal,37,27,6,0,0,0,12.333333333333334,137.03703703703704,0.0,0.0,1,3,3,1
AB Barath,42,41,5,1,0,0,21.0,102.4390243902439,0.0,0.0,2,1,3,1
Bipul Sharma,187,121,11,9,0,0,31.166666666666668,154.54545454545453,0.0,0.0,8,9,10,1
FY Fazal,183,168,22,1,0,0,20.333333333333332,108.92857142857142,0.0,0.0,5,6,7,1
AC Voges,181,137,15,3,0,0,45.25,132.1167883211679,0.0,0.0,3,4,6,1
MD Mishra,237,204,24,8,0,0,15.8,116.1764705882353,0.0,0.0,7,10,7,1
UT Yadav,208,198,16,9,0,0,10.4,105.05050505050507,0.0,0.0,7,41,15,1
J Theron,10,12,1,0,0,0,5.0,83.33333333333334,0.0,0.0,1,3,4,1
SJ Srivastava,5,5,0,0,0,0,5.0,100.0,0.0,0.0,1,3,3,1
R Sharma,66,72,5,3,0,0,6.0,91.66666666666666,0.0,0.0,3,16,8,1
Mandeep Singh,1706,1362,176,38,3,0,21.325,125.25697503671071,0.030927835051546393,0.0,39,58,16,1
KM Jadhav,1208,965,102,40,2,0,23.686274509803923,125.18134715025906,0.024691358024691357,0.0,26,55,14,1
SW Tait,23,26,1,1,0,0,7.666666666666667,88.46153846153845,0.0,0.0,1,4,5,1
KB Arun Karthik,51,46,4,1,0,0,10.2,110.86956521739131,0.0,0.0,3,5,7,1
KAJ Roach,10,9,1,0,0,0,10.0,111.11111111111111,0.0,0.0,0,1,1,1
PD Collingwood,203,153,9,13,1,0,50.75,132.6797385620915,0.14285714285714285,0.0,3,4,6,1
CK Langeveldt,8,9,0,1,0,0,4.0,88.88888888888889,0.0,0.0,0,2,2,1
VS Malik,7,6,1,0,0,0,7.0,116.66666666666667,0.0,0.0,0,2,2,1
A Mithun,34,24,4,1,0,0,6.8,141.66666666666669,0.0,0.0,2,4,4,1
AP Dole,34,22,3,1,0,0,17.0,154.54545454545453,0.0,0.0,1,1,2,1
AN Ahmed,36,25,4,1,0,0,36.0,144.0,0.0,0.0,2,4,5,1
RS Sodhi,4,2,1,0,0,0,0.0,200.0,0.0,0.0,1,0,1,1
DE Bollinger,21,22,1,1,0,0,21.0,95.45454545454545,0.0,0.0,0,4,3,1
S Sriram,31,35,3,0,0,0,15.5,88.57142857142857,0.0,0.0,1,1,2,1
B Sumanth,35,37,3,0,0,0,35.0,94.5945945945946,0.0,0.0,3,1,4,1
C Madan,15,18,3,0,0,0,15.0,83.33333333333334,0.0,0.0,1,0,1,1
AG Paunikar,49,57,9,0,0,0,9.8,85.96491228070175,0.0,0.0,2,3,4,1
MR Marsh,665,511,48,38,3,0,21.451612903225808,130.13698630136986,0.08333333333333333,0.0,12,24,13,1
AJ Finch,2092,1580,214,78,12,0,25.51219512195122,132.40506329113924,0.13333333333333333,0.0,35,55,14,1
STR Binny,880,671,66,35,0,0,20.46511627906977,131.14754098360655,0.0,0.0,27,39,12,1
Harmeet Singh,18,12,3,0,0,0,9.0,150.0,0.0,0.0,1,3,4,1
IR Jaggi,76,95,6,0,0,0,15.2,80.0,0.0,0.0,1,6,5,1
DT Christian,460,392,23,19,0,0,17.037037037037038,117.34693877551021,0.0,0.0,15,26,12,1
RV Gomez,50,48,5,1,0,0,10.0,104.16666666666667,0.0,0.0,3,6,7,1
MA Agarwal,2669,1972,265,98,10,1,23.412280701754387,135.3448275862069,0.08264462809917356,0.008264462809917356,48,73,15,1
AUK Pathan,39,23,5,2,0,0,7.8,169.56521739130434,0.0,0.0,3,4,5,1
UBT Chand,300,293,32,9,1,0,15.0,102.3890784982935,0.05,0.0,6,14,9,1
DJ Jacobs,92,92,10,4,0,0,13.142857142857142,100.0,0.0,0.0,4,3,6,1
Sunny Singh,43,30,6,1,0,0,10.75,143.33333333333334,0.0,0.0,2,3,5,1
NJ Rimmington,1,1,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
AL Menaria,401,354,24,18,0,0,19.095238095238095,113.27683615819208,0.0,0.0,9,14,9,1
WD Parnell,65,77,4,1,0,0,6.5,84.4155844155844,0.0,0.0,2,11,8,1
JJ van der Wath,18,16,1,1,0,0,9.0,112.5,0.0,0.0,0,3,3,1
R Ninan,3,6,0,0,0,0,3.0,50.0,0.0,0.0,0,1,1,1
S Aravind,59,54,7,0,0,0,19.666666666666668,109.25925925925925,0.0,0.0,0,10,8,1
MS Wade,183,172,23,2,0,0,14.076923076923077,106.3953488372093,0.0,0.0,10,4,8,1
TD Paine,10,24,0,0,0,0,5.0,41.66666666666667,0.0,0.0,0,2,2,1
SB Wagh,2,3,0,0,0,0,1.0,66.66666666666666,0.0,0.0,0,2,1,1
