Bowler,Matches,Innings,Overs,RunsGiven,Wickets,Economy,StrikeRate,Average,5W,3W,MaidenOvers,DotBalls,Extras,UniqueOpponents,OpponentsList
A Nehra,88,88,319.5,2495,106,7.81,18.08,23.54,0,14,2,828,73,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
R Vinay Kumar,104,105,356.3,2986,105,8.38,20.36,28.44,0,10,1,801,61,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Z Khan,99,99,367.0,2782,102,7.58,21.59,27.27,0,9,5,929,91,14,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
JD Unadkat,104,104,355.3,3189,99,8.97,21.54,32.21,2,8,3,707,70,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
DW Steyn,95,96,364.8,2523,97,6.92,22.57,26.01,0,8,7,1064,117,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
CH Morris,81,82,288.5,2309,96,8.0,18.03,24.05,0,12,1,708,89,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
SN Thakur,92,92,312.7,2869,94,9.18,19.96,30.52,0,7,3,669,122,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Mohammed Siraj,93,93,327.7,2822,93,8.61,21.14,30.34,0,7,4,853,146,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Sunrisers Hyderabad
I Sharma,110,110,388.7,3172,92,8.16,25.35,34.48,1,4,6,1035,152,17,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
SR Watson,105,105,340.3,2682,92,7.88,22.2,29.15,0,8,3,850,111,14,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
RP Singh,82,82,298.0,2338,90,7.85,19.87,25.98,0,11,2,790,102,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
P Kumar,119,119,420.8,3251,90,7.73,28.06,36.12,0,3,14,1147,145,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
PP Ojha,90,90,316.8,2332,89,7.36,21.36,26.2,0,5,1,708,71,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Kuldeep Yadav,82,82,291.3,2388,87,8.2,20.09,27.45,0,8,1,539,49,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
DS Kulkarni,92,92,299.0,2474,86,8.27,20.86,28.77,0,7,8,765,110,12,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
JA Morkel,87,87,289.3,2359,85,8.15,20.42,27.75,0,5,3,683,103,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
CV Varun,70,70,266.0,2000,83,7.52,19.23,24.1,1,8,1,607,39,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Imran Tahir,59,59,219.5,1703,82,7.76,16.06,20.77,0,12,1,451,39,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
IK Pathan,101,101,340.7,2649,80,7.78,25.55,33.11,0,4,10,885,80,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
DL Chahar,81,81,279.0,2221,77,7.96,21.74,28.84,0,7,6,726,77,12,Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
M Morkel,70,70,273.7,2089,77,7.63,21.32,27.13,0,6,3,738,84,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
KV Sharma,82,82,249.2,2087,76,8.38,19.67,27.46,0,4,1,512,25,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
Arshdeep Singh,65,65,228.2,2052,76,8.99,18.01,27.0,1,8,1,502,94,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
KH Pandya,117,117,354.2,2606,76,7.36,27.96,34.29,0,7,1,705,83,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
L Balaji,73,73,252.7,2028,76,8.03,19.95,26.68,1,7,2,582,76,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
RD Chahar,77,77,277.5,2141,75,7.72,22.2,28.55,0,6,1,590,39,13,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
MM Patel,63,63,227.7,1698,74,7.46,18.46,22.95,1,7,5,612,28,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Avesh Khan,62,62,223.2,1974,74,8.85,18.09,26.68,0,10,1,514,65,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
KK Ahmed,57,57,213.5,1881,74,8.81,17.31,25.42,0,8,4,541,73,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
MJ McClenaghan,56,56,213.8,1803,71,8.43,18.07,25.39,0,8,1,534,77,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
R Bhatia,91,91,273.0,2020,71,7.4,23.07,28.45,0,4,1,467,34,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
AB Dinda,75,75,255.0,2073,69,8.13,22.17,30.04,0,5,3,648,86,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
KA Pollard,107,107,249.3,2180,69,8.74,21.68,31.59,0,3,0,422,103,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
T Natarajan,61,61,223.0,1969,67,8.83,19.97,29.39,0,4,2,444,69,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru
SK Trivedi,75,75,252.5,1904,65,7.54,23.31,29.29,0,5,2,528,64,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore|Sunrisers Hyderabad
JH Kallis,89,89,291.8,2293,65,7.86,26.94,35.28,0,2,3,640,71,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
HH Pandya,93,93,237.2,2150,64,9.07,22.23,33.59,0,5,0,509,67,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
M Muralitharan,66,67,255.0,1706,64,6.69,23.91,26.66,0,5,1,643,64,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Ravi Bishnoi,65,65,236.0,1836,63,7.78,22.48,29.14,0,4,1,508,52,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Shakib Al Hasan,70,70,247.3,1839,63,7.44,23.56,29.19,0,2,1,523,37,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
PJ Cummins,58,58,220.0,1923,63,8.74,20.95,30.52,0,5,2,497,71,14,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
MG Johnson,54,55,207.3,1708,62,8.24,20.06,27.55,0,3,2,557,75,11,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
JP Faulkner,60,62,207.2,1799,61,8.68,20.38,29.49,2,6,4,440,55,11,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Mustafizur Rahman,57,57,217.7,1761,61,8.09,21.41,28.87,0,6,2,489,58,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
A Nortje,46,46,177.0,1574,60,8.89,17.7,26.23,0,4,1,429,51,10,Chennai Super Kings|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
SM Curran,58,58,198.0,1900,58,9.6,20.48,32.76,0,7,0,396,53,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
S Kaul,55,55,202.5,1739,58,8.59,20.95,29.98,0,4,3,410,33,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
SK Warne,54,54,199.0,1447,57,7.27,20.95,25.39,0,5,1,442,39,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore
JO Holder,46,46,166.3,1461,53,8.78,18.83,27.57,0,8,0,340,58,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
S Gopal,51,51,165.3,1349,52,8.16,19.08,25.94,0,5,1,326,9,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
MA Starc,39,39,139.0,1137,51,8.18,16.35,22.29,0,7,1,361,67,10,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bengaluru|Sunrisers Hyderabad
M Prasidh Krishna,51,52,194.7,1712,50,8.79,23.36,34.24,0,5,3,494,93,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
JC Archer,40,40,158.8,1169,48,7.36,19.85,24.35,0,6,2,444,44,10,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
