Player,T.RAB,TBF,T.50,T.100,T.4,T.6,Avg.RAB,Avg.BF,Avg.SR,RF.50,RF.100,T.over,T.Run.Given,T.Wic,T.Mdn,T.ECN,Avg.over,Avg.Run.Given,Avg.Wic,Avg.Mdn,Avg.ECN,T.Win,T.Loss,Win%,Loss%,Unique.OP,Venues,Matches
PP Chawla,624,544,0,0,56,20,7.255813953488372,6.325581395348837,114.70588235294117,0.0,0.0,642.0,5179,201,74,8.066978193146497,3.3612565445025844,27.115183246073297,1.0523560209424083,0.387434554973822,0.042235487922232966,97,95,50.520833333333336,49.47916666666667,18,1,192
WA Mota,56,73,0,0,2,0,7.0,9.125,76.71232876712328,0.0,0.0,12.2,98,4,1,8.05479452054795,1.7380952380952368,14.0,0.5714285714285714,0.14285714285714285,1.1506849315068501,5,5,50.0,50.0,5,1,10
JDP Oram,106,107,0,0,6,5,9.636363636363637,9.727272727272727,99.06542056074767,0.0,0.0,39.7,362,13,5,9.126050420168072,2.8333333333333317,25.857142857142858,0.9285714285714286,0.35714285714285715,0.6518607442977195,9,6,60.0,40.0,8,1,15
S Badrinath,1441,1185,5,0,154,28,22.16923076923077,18.23076923076923,121.60337552742615,0.07692307692307693,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34,31,52.307692307692314,47.69230769230769,9,1,65
MS Gony,99,70,0,0,6,8,6.6,4.666666666666667,141.42857142857144,0.0,0.0,148.8,1317,39,17,8.848824188129884,3.3825757575757636,29.931818181818183,0.8863636363636364,0.38636363636363635,0.20110964063931555,22,22,50.0,50.0,11,1,44
KC Sangakkara,1687,1361,10,0,195,27,24.808823529411764,20.014705882352942,123.9529757531227,0.14705882352941177,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,39,42.64705882352941,57.35294117647059,10,1,68
M Muralitharan,20,29,0,0,1,0,2.2222222222222223,3.2222222222222223,68.96551724137932,0.0,0.0,255.0,1765,67,24,6.921568627451137,3.8636363636362763,26.742424242424242,1.0151515151515151,0.36363636363636365,0.10487225193107784,34,32,51.515151515151516,48.484848484848484,10,1,66
P Amarnath,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22.0,241,7,1,10.954545454545446,3.6666666666666696,40.166666666666664,1.1666666666666667,0.16666666666666666,1.8257575757575744,6,0,100.0,0.0,5,0,6
Joginder Sharma,36,30,0,0,1,2,7.2,6.0,120.0,0.0,0.0,43.8,421,13,3,9.604562737642604,2.9222222222222167,28.066666666666666,0.8666666666666667,0.2,0.6403041825095069,6,10,37.5,62.5,7,1,16
Yuvraj Singh,2754,2096,7,0,218,149,21.857142857142858,16.634920634920636,131.39312977099235,0.05555555555555555,0.0,145.0,1091,39,14,7.524137931034458,1.9863013698630203,14.945205479452055,0.5342465753424658,0.1917808219178082,0.10307038261691039,57,72,44.18604651162791,55.81395348837209,14,1,129
SM Katich,241,179,2,0,26,8,21.90909090909091,16.272727272727273,134.6368715083799,0.18181818181818182,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,45.45454545454545,54.54545454545454,7,1,11
T Kohli,11,19,0,0,0,1,3.6666666666666665,6.333333333333333,57.89473684210527,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,66.66666666666666,33.33333333333333,3,1,3
GD McGrath,4,5,0,0,1,0,2.0,2.5,80.0,0.0,0.0,54.2,366,14,10,6.756923076923106,3.8690476190476026,26.142857142857142,1.0,0.7142857142857143,0.4826373626373647,8,6,57.14285714285714,42.857142857142854,7,1,14
YK Pathan,3222,2208,7,0,263,161,21.058823529411764,14.431372549019608,145.92391304347828,0.0457516339869281,0.0,191.2,1443,46,27,7.548387096774278,2.331300813008104,17.597560975609756,0.5609756097560976,0.32926829268292684,0.09205350118017412,85,76,52.79503105590062,47.20496894409938,15,1,161
B Geeves,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,91,2,1,11.374999999999993,4.000000000000003,45.5,1.0,0.5,5.6874999999999964,2,0,100.0,0.0,2,0,2
SR Watson,3880,2778,13,2,377,190,27.5177304964539,19.70212765957447,139.6688264938805,0.09219858156028368,0.014184397163120567,340.3,2742,107,33,8.056807051909804,3.241269841269877,26.114285714285714,1.019047619047619,0.3142857142857143,0.07673149573247431,75,70,51.724137931034484,48.275862068965516,15,1,145
M Kaif,259,245,0,0,22,6,11.772727272727273,11.136363636363637,105.71428571428572,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,63.63636363636363,36.36363636363637,9,1,22
MF Maharoof,177,120,0,0,12,9,12.642857142857142,8.571428571428571,147.5,0.0,0.0,70.8,532,33,11,7.510588235294136,3.541666666666658,26.6,1.65,0.55,0.37552941176470683,11,9,55.00000000000001,45.0,6,1,20
R Bhatia,342,277,0,0,24,13,7.276595744680851,5.8936170212765955,123.46570397111914,0.0,0.0,273.0,2059,82,16,7.54212454212465,2.999999999999957,22.626373626373628,0.9010989010989011,0.17582417582417584,0.08288048947389726,48,46,51.06382978723404,48.93617021276596,12,1,94
DS Lehmann,18,17,0,0,3,0,9.0,8.5,105.88235294117648,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,50.0,50.0,2,1,2
RA Jadeja,2959,2232,1,0,215,107,16.43888888888889,12.4,132.57168458781362,0.005555555555555556,0.0,639.0,4917,169,57,7.694835680751242,3.028436018957319,23.303317535545023,0.8009478672985783,0.27014218009478674,0.036468415548584085,129,103,55.603448275862064,44.396551724137936,17,1,232
M Rawat,55,66,0,0,4,1,5.0,6.0,83.33333333333334,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,36.36363636363637,63.63636363636363,6,1,11
DL Vettori,121,104,0,0,11,2,7.5625,6.5,116.34615384615385,0.0,0.0,129.5,894,34,14,6.903474903474831,3.808823529411805,26.294117647058822,1.0,0.4117647058823529,0.20304337951396562,18,16,52.94117647058824,47.05882352941176,10,1,34
D Salunkhe,33,24,0,0,5,0,11.0,8.0,137.5,0.0,0.0,8.0,80,1,1,9.999999999999993,1.600000000000001,16.0,0.2,0.2,1.9999999999999987,3,2,60.0,40.0,4,1,5
SK Warne,198,209,0,0,14,6,7.333333333333333,7.7407407407407405,94.73684210526315,0.0,0.0,199.0,1465,60,19,7.361809045226226,3.685185185185137,27.12962962962963,1.1111111111111112,0.35185185185185186,0.13632979713381901,30,25,54.54545454545454,45.45454545454545,9,1,55
SK Trivedi,42,59,0,0,3,1,3.0,4.214285714285714,71.1864406779661,0.0,0.0,252.5,1944,73,23,7.69900990099027,3.3666666666665916,25.92,0.9733333333333334,0.30666666666666664,0.10265346534653694,45,31,59.210526315789465,40.78947368421053,10,1,76
G Gambhir,4217,3339,23,0,492,59,27.927152317880793,22.112582781456954,126.2952979934112,0.152317880794702,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82,69,54.3046357615894,45.6953642384106,14,1,151
MM Patel,39,40,0,0,5,0,3.25,3.3333333333333335,97.5,0.0,0.0,227.7,1733,82,33,7.612005856515514,3.613756613756547,27.50793650793651,1.3015873015873016,0.5238095238095238,0.12082548978596054,36,27,57.14285714285714,42.857142857142854,11,1,63
V Sehwag,2728,1706,12,2,334,106,26.23076923076923,16.403846153846153,159.90621336459554,0.11538461538461539,0.019230769230769232,22.8,236,6,2,10.335766423357654,1.5222222222222237,15.733333333333333,0.4,0.13333333333333333,0.6890510948905103,51,53,49.03846153846153,50.96153846153846,11,1,104
S Dhawan,6769,5235,29,0,768,153,30.6289592760181,23.687782805429865,129.30276981852913,0.13122171945701358,0.0,8.0,72,4,0,8.999999999999995,1.3333333333333341,12.0,0.6666666666666666,0.0,1.4999999999999991,114,107,51.58371040723983,48.41628959276018,19,1,221
L Ronchi,34,34,0,0,6,1,6.8,6.8,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,100.0,5,1,5
ST Jayasuriya,768,517,4,0,84,39,25.6,17.233333333333334,148.54932301740814,0.13333333333333333,0.0,49.0,396,16,5,8.08163265306125,2.333333333333326,18.857142857142858,0.7619047619047619,0.23809523809523808,0.3848396501457738,15,15,50.0,50.0,7,1,30
DJ Thornely,39,49,0,0,2,2,9.75,12.25,79.59183673469387,0.0,0.0,7.0,40,3,1,5.714285714285712,1.7500000000000009,10.0,0.75,0.25,1.428571428571428,4,1,80.0,20.0,5,1,5
RV Uthappa,4954,3725,17,0,481,182,25.14720812182741,18.908629441624367,132.993288590604,0.08629441624365482,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,88,109,44.67005076142132,55.32994923857868,17,1,197
PR Shah,92,86,0,0,9,2,10.222222222222221,9.555555555555555,106.9767441860465,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,11.11111111111111,88.88888888888889,5,1,9
R Vinay Kumar,310,267,0,0,21,9,7.380952380952381,6.357142857142857,116.10486891385767,0.0,0.0,356.3,3041,127,37,8.534144059868904,3.426282051282105,29.240384615384617,1.2211538461538463,0.3557692307692308,0.08205907749873946,52,52,50.0,50.0,12,1,104
AM Nayar,672,555,0,0,55,20,13.44,11.1,121.0810810810811,0.0,0.0,38.2,323,9,5,8.462882096069869,2.008771929824561,17.0,0.47368421052631576,0.2631578947368421,0.44541484716157204,15,36,29.411764705882355,70.58823529411765,10,1,51
SM Pollock,147,109,0,0,12,8,18.375,13.625,134.8623853211009,0.0,0.0,46.0,307,13,5,6.673913043478278,3.53846153846153,23.615384615384617,1.0,0.38461538461538464,0.513377926421406,6,7,46.15384615384615,53.84615384615385,7,1,13
Harbhajan Singh,833,589,1,0,79,42,9.465909090909092,6.693181818181818,141.42614601018676,0.011363636363636364,0.0,570.0,4101,161,53,7.1947368421051365,3.5625000000000626,25.63125,1.00625,0.33125,0.0449671052631571,94,69,57.668711656441715,42.331288343558285,15,1,163
S Chanderpaul,25,31,0,0,4,0,8.333333333333334,10.333333333333334,80.64516129032258,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,33.33333333333333,66.66666666666666,3,1,3
A Nehra,41,57,0,0,3,1,2.411764705882353,3.3529411764705883,71.9298245614035,0.0,0.0,319.5,2537,121,32,7.940532081377118,3.630681818181834,28.829545454545453,1.375,0.36363636363636365,0.09023331910655816,42,46,47.72727272727273,52.27272727272727,13,1,88
DS Kulkarni,104,106,0,0,7,2,5.2,5.3,98.11320754716981,0.0,0.0,299.0,2513,91,41,8.404682274247518,3.2499999999999893,27.315217391304348,0.9891304347826086,0.44565217391304346,0.09135524211138607,42,50,45.65217391304348,54.347826086956516,12,1,92
LRPL Taylor,1017,798,2,0,66,46,18.833333333333332,14.777777777777779,127.44360902255639,0.037037037037037035,0.0,2.0,24,0,0,12.0,1.0,12.0,0.0,0.0,6.0,24,30,44.44444444444444,55.55555555555556,11,1,54
AC Gilchrist,2069,1450,9,1,239,92,25.8625,18.125,142.68965517241378,0.1125,0.0125,0.2,0,1,0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,36,44,45.0,55.00000000000001,11,1,80
Y Venugopal Rao,985,816,2,0,77,37,18.942307692307693,15.692307692307692,120.71078431372548,0.038461538461538464,0.0,36.0,338,7,3,9.388888888888882,1.8000000000000014,16.9,0.35,0.15,0.4694444444444441,17,40,29.82456140350877,70.17543859649122,10,1,57
VVS Laxman,282,261,1,0,33,5,14.1,13.05,108.04597701149426,0.05,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,13,35.0,65.0,8,1,20
A Symonds,974,739,2,0,74,41,27.055555555555557,20.52777777777778,131.7997293640054,0.05555555555555555,0.0,88.0,694,23,8,7.886363636363608,2.933333333333344,23.133333333333333,0.7666666666666667,0.26666666666666666,0.26287878787878693,18,18,50.0,50.0,9,1,36
M Kartik,113,106,0,0,7,1,8.071428571428571,7.571428571428571,106.60377358490567,0.0,0.0,192.3,1418,39,20,7.372616984402164,3.4969696969696566,25.78181818181818,0.7090909090909091,0.36363636363636365,0.1340475815345848,23,32,41.81818181818181,58.18181818181818,11,1,55
RG Sharma,6630,5003,28,0,599,281,26.41434262948207,19.932270916334662,132.52048770737557,0.11155378486055777,0.0,56.5,462,16,3,8.176991150442516,1.7656249999999918,14.4375,0.5,0.09375,0.25553097345132864,129,122,51.39442231075697,48.60557768924303,18,1,251
SB Styris,131,130,0,0,10,3,13.1,13.0,100.76923076923077,0.0,0.0,36.0,278,9,5,7.722222222222216,3.272727272727275,25.272727272727273,0.8181818181818182,0.45454545454545453,0.7020202020202014,4,8,33.33333333333333,66.66666666666666,6,1,12
AS Yadav,49,37,0,0,5,2,8.166666666666666,6.166666666666667,132.43243243243242,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,100.0,5,1,6
SB Bangar,49,55,0,0,1,3,7.0,7.857142857142857,89.0909090909091,0.0,0.0,25.0,221,6,2,8.839999999999986,2.777777777777782,24.555555555555557,0.6666666666666666,0.2222222222222222,0.9822222222222207,2,8,20.0,80.0,7,1,10
WPUJC Vaas,81,71,0,0,2,3,7.363636363636363,6.454545454545454,114.08450704225352,0.0,0.0,47.3,364,22,4,7.690140845070444,3.6410256410256308,28.0,1.6923076923076923,0.3076923076923077,0.5915492957746495,5,8,38.46153846153847,61.53846153846154,6,1,13
RP Singh,52,71,0,0,2,1,1.8571428571428572,2.5357142857142856,73.23943661971832,0.0,0.0,298.0,2417,100,35,8.110738255033587,3.6341463414634014,29.475609756097562,1.2195121951219512,0.4268292682926829,0.09891144213455594,36,46,43.90243902439025,56.09756097560976,11,1,82
WP Saha,2934,2247,8,0,296,87,20.517482517482517,15.713286713286713,130.57409879839784,0.055944055944055944,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,66,77,46.15384615384615,53.84615384615385,18,1,143
PP Ojha,16,41,0,0,0,0,0.8421052631578947,2.1578947368421053,39.02439024390244,0.0,0.0,316.8,2399,99,29,7.571804313519175,3.520370370370382,26.655555555555555,1.1,0.32222222222222224,0.08413115903910194,44,46,48.888888888888886,51.11111111111111,10,1,90
DPMD Jayawardene,1808,1432,5,0,200,40,23.17948717948718,18.358974358974358,126.25698324022345,0.0641025641025641,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35,43,44.871794871794876,55.12820512820513,10,1,78
Pankaj Singh,7,12,0,0,0,0,1.4,2.4,58.333333333333336,0.0,0.0,50.2,472,11,6,9.408637873754186,2.9509803921568527,27.764705882352942,0.6470588235294118,0.35294117647058826,0.5534492866914227,8,9,47.05882352941176,52.94117647058824,8,1,17
S Sohal,368,286,2,0,34,18,18.4,14.3,128.67132867132867,0.1,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,50.0,50.0,10,1,20
Kamran Akmal,128,76,0,0,13,8,21.333333333333332,12.666666666666666,168.42105263157893,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,83.33333333333334,16.666666666666664,4,1,6
Mohammad Asif,3,6,0,0,0,0,1.5,3.0,50.0,0.0,0.0,32.2,307,9,4,9.544041450777177,4.020833333333344,38.375,1.125,0.5,1.1930051813471472,4,4,50.0,50.0,6,1,8
VY Mahesh,15,26,0,0,0,0,3.0,5.2,57.692307692307686,0.0,0.0,57.7,511,22,5,8.861271676300621,3.3921568627450815,30.058823529411764,1.2941176470588236,0.29411764705882354,0.5212512750765071,7,10,41.17647058823529,58.82352941176471,8,1,17
Shahid Afridi,81,45,0,0,7,6,9.0,5.0,180.0,0.0,0.0,30.2,237,9,2,7.856353591160201,3.016666666666674,23.7,0.9,0.2,0.7856353591160201,2,8,20.0,80.0,6,1,10
DJ Bravo,1560,1177,1,0,120,66,14.181818181818182,10.7,132.54035683942226,0.00909090909090909,0.0,521.5,4436,207,43,8.506232023010204,3.300632911392538,28.075949367088608,1.3101265822784811,0.2721518987341772,0.05383691153803927,93,67,58.12500000000001,41.875,16,1,160
VS Yeligati,2,2,0,0,0,0,2.0,2.0,100.0,0.0,0.0,5.0,61,0,0,12.2,2.5,30.5,0.0,0.0,6.1,0,2,0.0,100.0,2,1,2
MA Khote,24,19,0,0,2,1,8.0,6.333333333333333,126.3157894736842,0.0,0.0,5.0,52,2,0,10.4,2.5,26.0,1.0,0.0,5.2,0,3,0.0,100.0,3,1,3
GC Smith,739,656,3,0,94,9,25.482758620689655,22.620689655172413,112.65243902439023,0.10344827586206896,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17,12,58.620689655172406,41.37931034482759,8,1,29
D Kalyankrishna,3,7,0,0,0,0,3.0,7.0,42.857142857142854,0.0,0.0,8.0,88,2,2,10.999999999999993,2.6666666666666683,29.333333333333332,0.6666666666666666,0.6666666666666666,3.6666666666666643,1,2,33.33333333333333,66.66666666666666,3,1,3
RR Sarwan,73,74,0,0,6,1,18.25,18.5,98.64864864864865,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,75.0,25.0,4,1,4
VRV Singh,4,2,0,0,1,0,2.0,1.0,200.0,0.0,0.0,60.7,549,16,3,9.049450549450597,3.3703703703703525,30.5,0.8888888888888888,0.16666666666666666,0.5027472527472554,12,6,66.66666666666666,33.33333333333333,7,1,18
SS Tiwary,1494,1229,4,0,111,50,20.465753424657535,16.835616438356166,121.56224572823433,0.0547945205479452,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35,38,47.94520547945205,52.054794520547944,14,1,73
Sohail Tanvir,36,29,0,0,3,1,7.2,5.8,124.13793103448276,0.0,0.0,41.3,275,24,3,6.65322580645162,3.7575757575757534,25.0,2.1818181818181817,0.2727272727272727,0.60483870967742,10,1,90.9090909090909,9.090909090909092,6,1,11
A Kumble,35,45,0,0,3,0,2.3333333333333335,3.0,77.77777777777779,0.0,0.0,161.7,1089,49,12,6.736082474226824,3.849206349206338,25.928571428571427,1.1666666666666667,0.2857142857142857,0.1603829160530196,20,22,47.61904761904761,52.38095238095239,7,1,42
DNT Zoysa,11,7,0,0,1,0,5.5,3.5,157.14285714285714,0.0,0.0,11.3,100,2,1,8.823529411764712,3.7777777777777755,33.333333333333336,0.6666666666666666,0.3333333333333333,2.9411764705882373,1,2,33.33333333333333,66.66666666666666,2,1,3
AM Rahane,4642,3702,18,0,479,103,27.146198830409357,21.649122807017545,125.39168017287952,0.10526315789473684,0.0,1.0,5,1,0,5.000000000000001,0.9999999999999999,5.0,1.0,0.0,5.000000000000001,83,88,48.53801169590643,51.461988304093566,17,1,171
SD Chitnis,99,88,0,0,10,2,12.375,11.0,112.5,0.0,0.0,6.0,62,2,0,10.33333333333333,3.000000000000001,31.0,1.0,0.0,5.166666666666665,4,5,44.44444444444444,55.55555555555556,6,1,9
Shoaib Malik,52,46,0,0,5,0,10.4,9.2,113.04347826086956,0.0,0.0,8.7,87,2,1,10.038461538461535,1.7333333333333338,17.4,0.4,0.2,2.0076923076923068,3,3,50.0,50.0,4,1,6
MK Tiwary,1695,1425,3,0,156,40,20.42168674698795,17.16867469879518,118.94736842105263,0.03614457831325301,0.0,7.0,83,1,0,11.85714285714285,1.1666666666666672,13.833333333333334,0.16666666666666666,0.0,1.9761904761904752,38,47,44.70588235294118,55.294117647058826,12,1,85
KD Karthik,4843,3512,16,0,466,161,20.78540772532189,15.072961373390559,137.8986332574032,0.06866952789699571,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,110,123,47.21030042918455,52.78969957081545,17,1,233
TM Srivastava,8,11,0,0,0,0,2.6666666666666665,3.6666666666666665,72.72727272727273,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,33.33333333333333,66.66666666666666,3,1,3
