Player,TotalRuns,BallsFaced,StrikeRate,Fours,Sixes,Matches,Innings,Fifties,Hundreds,AverageRun,RF_50s,RF_100s,UniqueOpponents,OpponentsList,Dismissals,DuckOuts,DuckOutPercentage,MostCommonPosition,AveragePosition,PositionConsistency,PositionRange,OpeningInnings,TopOrderInnings
KL Rahul,4680,3428,136.52,400,186,122,124,25,10,45.44,0.205,0.082,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,103,4,3.23,1,1.9,58.87,1-11,73,107
AM Rahane,4640,3698,125.47,479,103,171,171,25,4,31.14,0.146,0.023,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,149,12,7.02,1,1.89,50.88,1-8,87,159
F du Plessis,4566,3300,138.36,422,166,138,138,32,6,38.37,0.232,0.043,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,119,7,5.07,2,2.33,57.97,1-7,20,119
SV Samson,4412,3128,141.05,352,206,162,162,24,7,31.74,0.148,0.043,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,139,7,4.32,3,3.17,50.62,1-8,13,114
AT Rayudu,4325,3348,129.18,358,171,185,185,26,2,29.22,0.141,0.011,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,148,13,7.03,4,4.21,25.41,1-7,2,59
G Gambhir,4197,3329,126.07,490,58,151,151,32,3,32.79,0.212,0.02,14,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,128,10,6.62,2,1.95,48.34,1-6,46,146
SR Watson,3864,2766,139.7,374,190,141,143,22,5,31.16,0.156,0.035,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,124,7,4.9,1,2.65,33.57,1-7,48,94
MK Pandey,3840,3144,122.14,333,110,158,160,20,5,29.31,0.127,0.032,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,131,12,7.5,3,3.31,42.5,1-8,17,102
SA Yadav,3575,2428,147.24,383,129,135,136,24,4,32.8,0.178,0.03,17,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,109,10,7.35,3,3.88,36.76,1-8,13,68
JC Buttler,3559,2373,149.98,354,159,106,107,19,8,38.68,0.179,0.075,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,92,7,6.54,2,2.61,44.86,1-6,22,80
KA Pollard,3411,2260,150.93,220,221,168,172,24,2,28.43,0.143,0.012,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,120,7,4.07,5,5.39,39.53,1-8,2,7
RR Pant,3281,2175,150.85,297,153,110,113,20,4,36.05,0.182,0.036,13,Chennai Super Kings|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,91,4,3.54,4,4.1,50.44,1-8,4,21
YK Pathan,3210,2196,146.17,263,161,153,154,20,2,30.57,0.131,0.013,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,105,5,3.25,5,4.75,33.77,1-8,3,24
Shubman Gill,3205,2344,136.73,308,95,99,99,15,9,38.61,0.152,0.091,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,83,4,4.04,2,2.47,53.54,1-7,24,84
Q de Kock,3152,2309,136.51,316,122,107,108,17,5,31.84,0.159,0.047,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,99,4,3.7,1,1.46,59.26,1-4,64,107
SS Iyer,3123,2420,129.05,271,113,114,115,19,0,32.2,0.167,0.0,15,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,97,6,5.22,3,3.25,39.13,2-6,0,71
RA Jadeja,2942,2219,132.58,215,106,180,180,7,4,27.75,0.039,0.022,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,106,7,3.89,6,5.87,36.11,3-8,0,3
WP Saha,2929,2243,130.58,295,87,143,143,12,3,24.82,0.084,0.021,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,118,5,3.5,1,3.33,36.36,1-9,52,87
DA Miller,2913,2043,142.58,206,133,123,124,17,7,36.87,0.138,0.057,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,79,2,1.61,5,4.79,55.65,1-6,1,5
BB McCullum,2857,2124,134.51,290,128,109,111,12,4,28.01,0.11,0.037,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,102,6,5.41,2,1.88,60.36,1-6,31,108
PA Patel,2841,2285,124.33,364,49,136,136,12,0,23.48,0.088,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,121,12,8.82,1,1.82,50.0,1-7,68,129
GJ Maxwell,2764,1712,161.45,231,160,128,129,16,2,25.59,0.125,0.016,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,108,17,13.18,4,4.04,48.06,1-6,3,30
Yuvraj Singh,2742,2089,131.26,216,149,126,127,13,3,25.63,0.103,0.024,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,107,2,1.57,4,4.2,58.27,1-6,1,15
V Sehwag,2713,1691,160.44,333,105,104,104,13,5,28.56,0.125,0.048,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,95,7,6.73,2,2.03,70.19,1-5,17,100
MA Agarwal,2651,1960,135.26,262,98,121,122,10,2,23.25,0.083,0.017,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,114,6,4.92,2,2.37,36.89,1-7,37,105
Ishan Kishan,2635,1914,137.67,254,119,99,99,12,3,28.96,0.121,0.03,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,91,8,8.08,2,2.78,27.27,1-8,26,66
N Rana,2621,1914,136.94,232,131,101,101,19,1,28.49,0.188,0.01,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,92,8,7.92,4,3.54,39.6,1-6,6,45
M Vijay,2619,2114,123.89,247,91,105,105,16,3,28.16,0.152,0.029,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,93,3,2.86,1,1.63,52.38,1-7,55,100
HH Pandya,2521,1707,147.69,188,137,128,131,10,4,29.31,0.078,0.031,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,86,4,3.05,6,5.12,23.66,1-8,1,20
SE Marsh,2473,1820,135.88,267,77,69,70,17,1,39.89,0.246,0.014,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,62,1,1.43,3,2.43,52.86,1-4,13,67
AD Russell,2465,1392,177.08,168,208,104,105,14,4,30.06,0.135,0.038,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,82,4,3.81,6,5.73,34.29,1-8,1,5
SPD Smith,2461,1906,129.12,222,58,93,95,14,2,35.16,0.151,0.022,12,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,70,1,1.05,3,3.73,37.89,1-7,1,51
JH Kallis,2419,2182,110.86,254,44,95,95,15,1,29.14,0.158,0.011,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,83,6,6.32,1,2.25,30.53,1-4,29,81
DR Smith,2379,1706,139.45,244,117,88,88,15,2,29.74,0.17,0.023,11,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,80,7,7.95,1,2.33,68.18,1-7,60,65
RD Gaikwad,2372,1716,138.23,216,91,65,65,15,4,43.13,0.231,0.062,11,Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,55,4,6.15,1,1.43,72.31,1-5,47,62
SR Tendulkar,2331,1893,123.14,296,29,78,78,10,3,34.79,0.128,0.038,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,67,4,5.13,2,2.12,83.33,1-4,4,74
RA Tripathi,2213,1571,140.87,219,83,93,93,10,3,27.66,0.108,0.032,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,80,4,4.3,3,3.17,46.24,1-8,6,71
R Dravid,2173,1844,117.84,269,28,82,82,12,0,28.97,0.146,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,75,3,3.66,1,2.8,32.93,1-8,27,54
KS Williamson,2128,1667,127.65,187,64,76,77,13,4,36.69,0.171,0.053,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore,58,1,1.3,3,3.08,53.25,1-6,1,59
AJ Finch,2083,1571,132.59,214,77,90,91,14,2,25.4,0.156,0.022,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,82,6,6.59,2,2.63,32.97,1-7,26,63
AC Gilchrist,2046,1438,142.28,234,92,80,80,8,4,27.28,0.1,0.05,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,75,8,10.0,1,1.27,75.0,1-3,60,80
JP Duminy,2026,1595,127.02,126,79,75,75,13,4,42.21,0.173,0.053,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,48,1,1.33,5,4.35,33.33,2-7,0,21
MEK Hussey,1976,1576,125.38,198,52,58,58,14,2,40.33,0.241,0.034,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,1,1.72,1,1.71,58.62,1-6,34,54
PP Shaw,1890,1267,149.17,238,61,79,79,15,0,24.87,0.19,0.0,10,Chennai Super Kings|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,76,7,8.86,1,1.08,92.41,1-2,73,79
MP Stoinis,1856,1289,143.99,148,91,88,88,12,1,28.55,0.136,0.011,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,65,5,5.68,5,4.65,35.23,1-8,2,16
DPMD Jayawardene,1806,1430,126.29,200,40,78,79,11,2,30.61,0.141,0.026,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,59,2,2.53,5,3.23,25.32,1-7,20,37
N Pooran,1769,1074,164.71,113,127,72,74,8,4,32.16,0.111,0.056,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,55,9,12.16,5,4.68,44.59,2-7,0,7
Mandeep Singh,1705,1359,125.46,176,38,97,97,6,1,21.31,0.062,0.01,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,80,12,12.37,2,3.63,24.74,1-7,13,47
MK Tiwary,1685,1420,118.66,154,40,83,83,11,0,29.56,0.133,0.0,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,57,4,4.82,4,4.61,48.19,1-9,3,7
KC Sangakkara,1680,1354,124.08,195,26,68,68,10,0,25.85,0.147,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,65,4,5.88,3,3.21,61.76,1-5,3,50
KH Pandya,1643,1209,135.9,143,61,107,107,5,1,23.14,0.047,0.009,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,71,5,4.67,7,5.74,34.58,2-8,0,6
AR Patel,1643,1240,132.5,107,78,112,112,11,0,22.2,0.098,0.0,15,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,74,5,4.46,7,6.57,46.43,3-9,0,2
