Player,TotalRuns,BallsFaced,StrikeRate,Fours,Sixes,Matches,Innings,Fifties,Hundreds,AverageRun,RF_50s,RF_100s,UniqueOpponents,OpponentsList,Dismissals,DuckOuts,DuckOutPercentage,MostCommonPosition,AveragePosition,PositionConsistency,PositionRange,OpeningInnings,TopOrderInnings
JC Buttler,3583,2384,150.29,356,161,106,107,19,7,38.95,0.179,0.066,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,92,7,7.61,2,2.61,44.86,1-6,22,80
KA Pollard,3437,2274,151.14,221,224,168,172,16,0,28.64,0.095,0.0,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,120,5,4.17,5,5.39,39.53,1-8,2,7
RR Pant,3297,2184,150.96,298,154,110,113,18,1,36.23,0.164,0.009,13,Chennai Super Kings|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,91,4,4.4,4,4.1,50.44,1-8,4,21
YK Pathan,3222,2208,145.92,263,161,153,154,13,1,30.69,0.085,0.007,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,105,9,8.57,5,4.75,33.77,1-8,3,24
Shubman Gill,3216,2354,136.62,310,95,99,99,20,4,38.75,0.202,0.04,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,83,4,4.82,2,2.47,53.54,1-7,24,84
Q de Kock,3160,2315,136.5,316,123,107,108,23,2,31.92,0.215,0.019,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,99,4,4.04,1,1.46,59.26,1-4,64,107
SS Iyer,3131,2426,129.06,272,113,114,115,21,0,32.28,0.184,0.0,15,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,97,6,6.19,3,3.25,39.13,2-6,0,71
RA Jadeja,2959,2232,132.57,215,107,180,180,3,0,27.92,0.017,0.0,17,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,106,8,7.55,6,5.87,36.11,3-8,0,3
WP Saha,2934,2247,130.57,296,87,143,143,13,1,24.86,0.091,0.007,18,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,118,7,5.93,1,3.33,36.36,1-9,52,87
DA Miller,2924,2050,142.63,207,134,123,124,13,1,37.01,0.106,0.008,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,79,4,5.06,5,4.79,55.65,1-6,1,5
BB McCullum,2882,2138,134.8,293,130,109,111,13,2,28.25,0.119,0.018,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,102,6,5.88,2,1.88,60.36,1-6,31,108
PA Patel,2848,2293,124.2,365,49,136,136,13,0,23.54,0.096,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,121,13,10.74,1,1.82,50.0,1-7,68,129
GJ Maxwell,2772,1720,161.16,233,160,128,129,18,0,25.67,0.141,0.0,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,108,18,16.67,4,4.04,48.06,1-6,3,30
Yuvraj Singh,2754,2096,131.39,218,149,126,127,13,0,25.74,0.103,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,107,4,3.74,4,4.2,58.27,1-6,1,15
V Sehwag,2728,1706,159.91,334,106,104,104,16,2,28.72,0.154,0.019,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,95,7,7.37,2,2.03,70.19,1-5,17,100
MA Agarwal,2669,1972,135.34,265,98,121,122,13,1,23.41,0.107,0.008,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,114,7,6.14,2,2.37,36.89,1-7,37,105
Ishan Kishan,2644,1921,137.64,255,119,99,99,16,0,29.05,0.162,0.0,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,91,8,8.79,2,2.78,27.27,1-8,26,66
N Rana,2636,1920,137.29,234,132,101,101,18,0,28.65,0.178,0.0,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,92,7,7.61,4,3.54,39.6,1-6,6,45
M Vijay,2619,2116,123.77,247,91,105,105,13,2,28.16,0.124,0.019,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,93,4,4.3,1,1.63,52.38,1-7,55,100
HH Pandya,2534,1716,147.67,189,137,128,131,10,0,29.47,0.078,0.0,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,86,6,6.98,6,5.12,23.66,1-8,1,20
SPD Smith,2495,1920,129.95,226,60,93,95,11,1,35.64,0.118,0.011,12,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,70,1,1.43,3,3.73,37.89,1-7,1,51
SE Marsh,2489,1825,136.38,269,78,69,70,20,1,40.15,0.29,0.014,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,62,1,1.61,3,2.43,52.86,1-4,13,67
AD Russell,2488,1408,176.7,171,209,104,105,11,0,30.34,0.106,0.0,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,82,5,6.1,6,5.73,34.29,1-8,1,5
JH Kallis,2427,2191,110.77,255,44,95,95,17,0,29.24,0.179,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,83,7,8.43,1,2.25,30.53,1-4,29,81
DR Smith,2385,1715,139.07,245,117,88,88,17,0,29.81,0.193,0.0,11,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,80,8,10.0,1,2.33,68.18,1-7,60,65
RD Gaikwad,2380,1725,137.97,217,91,65,65,18,2,43.27,0.277,0.031,11,Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,55,6,10.91,1,1.43,72.31,1-5,47,62
SR Tendulkar,2334,1900,122.84,296,29,78,78,13,1,34.84,0.167,0.013,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,67,4,5.97,2,2.12,83.33,1-4,4,74
RA Tripathi,2236,1578,141.7,223,84,93,93,12,0,27.95,0.129,0.0,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,80,4,5.0,3,3.17,46.24,1-8,6,71
R Dravid,2174,1848,117.64,269,28,82,82,11,0,28.99,0.134,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,75,3,4.0,1,2.8,32.93,1-8,27,54
KS Williamson,2132,1672,127.51,187,64,76,77,18,0,36.76,0.237,0.0,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore,58,1,1.72,3,3.08,53.25,1-6,1,59
AJ Finch,2092,1580,132.41,214,78,90,91,15,0,25.51,0.167,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,82,8,9.76,2,2.63,32.97,1-7,26,63
AC Gilchrist,2069,1450,142.69,239,92,80,80,11,2,27.59,0.138,0.025,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,75,7,9.33,1,1.27,75.0,1-3,60,80
JP Duminy,2029,1600,126.81,126,79,75,75,14,0,42.27,0.187,0.0,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,48,1,2.08,5,4.35,33.33,2-7,0,21
MEK Hussey,1977,1578,125.29,198,52,58,58,15,1,40.35,0.259,0.017,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,1,2.04,1,1.71,58.62,1-6,34,54
PP Shaw,1892,1270,148.98,238,61,79,79,14,0,24.89,0.177,0.0,10,Chennai Super Kings|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,76,7,9.21,1,1.08,92.41,1-2,73,79
MP Stoinis,1866,1295,144.09,150,91,88,88,9,1,28.71,0.102,0.011,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,65,9,13.85,5,4.65,35.23,1-8,2,16
DPMD Jayawardene,1808,1432,126.26,200,40,78,79,10,1,30.64,0.128,0.013,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,59,2,3.39,5,3.23,25.32,1-7,20,37
N Pooran,1769,1076,164.41,113,127,72,74,9,0,32.16,0.125,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,55,10,18.18,5,4.68,44.59,2-7,0,7
Mandeep Singh,1706,1362,125.26,176,38,97,97,6,0,21.32,0.062,0.0,16,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,80,14,17.5,2,3.63,24.74,1-7,13,47
MK Tiwary,1695,1425,118.95,156,40,83,83,7,0,29.74,0.084,0.0,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,57,8,14.04,4,4.61,48.19,1-9,3,7
KC Sangakkara,1687,1361,123.95,195,27,68,68,10,0,25.95,0.147,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,65,4,6.15,3,3.21,61.76,1-5,3,50
AR Patel,1653,1244,132.88,107,79,112,112,3,0,22.34,0.027,0.0,15,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,74,7,9.46,7,6.57,46.43,3-9,0,2
KH Pandya,1647,1210,136.12,144,61,107,107,1,0,23.2,0.009,0.0,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,71,6,8.45,7,5.74,34.58,2-8,0,6
