fullName,runs,ballsFaced,fours,sixes,match_id_x,Avg.Run,Avg.BF,Avg.SR,overs,conceded,wickets,maidens,match_id_y,Avg.over,Avg.Run.Given,Avg.Wic,Avg.Mdn,Avg.ECN
Hanuma Vihari,284,321,23,1,23,12.34782609,13.95652174,88.47352025,7,47,1,0,6,1.166666667,7.833333333,0.166666667,0,6.714285714
Harbhajan Singh,833,604,79,42,90,9.255555556,6.711111111,137.9139073,568.8,4030,150,6,160,3.555,25.1875,0.9375,0.0375,7.085091421
Hardik Pandya,2309,1583,172,125,115,20.07826087,13.76521739,145.8622868,199.4,1763,53,0,81,2.461728395,21.7654321,0.654320988,0,8.841524574
Hardus Viljoen,3,7,0,0,3,1,2.333333333,42.85714286,23,222,7,0,6,3.833333333,37,1.166666667,0,9.652173913
Harmeet Singh,18,12,3,0,6,3,2,150,90.9,731,27,0,28,3.246428571,26.10714286,0.964285714,0,8.04180418
Harpreet Brar,158,136,11,7,17,9.294117647,8,116.1764706,75.1,592,18,1,26,2.888461538,22.76923077,0.692307692,0.038461538,7.882822903
Harry Gurney,1,5,0,0,1,1,5,20,27,238,7,0,8,3.375,29.75,0.875,0,8.814814815
Harshal Patel,236,184,15,14,38,6.210526316,4.842105263,128.2608696,309.5,2672,111,2,89,3.47752809,30.02247191,1.247191011,0.02247191,8.633279483
Harshit Rana,2,3,0,0,3,0.666666667,1,66.66666667,22,198,6,0,8,2.75,24.75,0.75,0,9
Hrithik Shokeen,66,65,9,0,6,11,10.83333333,101.5384615,34,314,5,0,13,2.615384615,24.15384615,0.384615385,0,9.235294118
Imran Tahir,33,37,5,0,9,3.666666667,4.111111111,89.18918919,218.4,1703,82,1,59,3.701694915,28.86440678,1.389830508,0.016949153,7.797619048
Iqbal Abdulla,88,84,9,1,13,6.769230769,6.461538462,104.7619048,152.8,1109,40,1,48,3.183333333,23.10416667,0.833333333,0.020833333,7.257853403
Irfan Pathan,1139,946,87,37,82,13.8902439,11.53658537,120.4016913,337.9,2649,80,10,101,3.345544554,26.22772277,0.792079208,0.099009901,7.839597514
Ish Sodhi,7,17,0,0,2,3.5,8.5,41.17647059,30.1,202,9,1,8,3.7625,25.25,1.125,0.125,6.710963455
Ishan Malhotra,7,4,1,0,1,7,4,175,1,23,0,0,1,1,23,0,0,23
Ishant Sharma,56,62,4,2,26,2.153846154,2.384615385,90.32258065,357.1,2907,82,6,101,3.535643564,28.78217822,0.811881188,0.059405941,8.140576869
Ishwar Pandey,0,2,0,0,1,0,2,0,77,591,18,4,24,3.208333333,24.625,0.75,0.166666667,7.675324675
Isuru Udana,15,11,1,1,4,3.75,2.75,136.3636364,29,282,8,0,10,2.9,28.2,0.8,0,9.724137931
Jacob Oram,106,108,6,5,12,8.833333333,9,98.14814815,38.9,349,9,0,14,2.778571429,24.92857143,0.642857143,0,8.971722365
Jacques Kallis,2427,2222,255,44,96,25.28125,23.14583333,109.2259226,290.2,2293,65,3,89,3.260674157,25.76404494,0.730337079,0.033707865,7.901447278
Jagadeesha Suchith,70,61,6,3,10,7,6.1,114.7540984,70,602,19,0,21,3.333333333,28.66666667,0.904761905,0,8.6
Jamaluddin Syed Mohammad,29,26,4,0,5,5.8,5.2,111.5384615,32,283,8,0,11,2.909090909,25.72727273,0.727272727,0,8.84375
James Faulkner,527,389,36,23,45,11.71111111,8.644444444,135.4755784,202.7,1778,59,4,60,3.378333333,29.63333333,0.983333333,0.066666667,8.771583621
James Franklin,327,301,25,8,16,20.4375,18.8125,108.6378738,25.1,220,9,0,15,1.673333333,14.66666667,0.6,0,8.764940239
James Hopes,417,306,49,11,19,21.94736842,16.10526316,136.2745098,60,548,14,0,20,3,27.4,0.7,0,9.133333333
James Neesham,92,93,6,2,10,9.2,9.3,98.92473118,36,334,8,0,13,2.769230769,25.69230769,0.615384615,0,9.277777778
James Pattinson,15,13,2,0,2,7.5,6.5,115.3846154,35.3,320,11,0,10,3.53,32,1.1,0,9.065155807
Jaskaran Singh,8,11,0,0,5,1.6,2.2,72.72727273,17,171,6,0,7,2.428571429,24.42857143,0.857142857,0,10.05882353
Jason Behrendorff,6,9,0,0,2,3,4.5,66.66666667,61,552,19,0,17,3.588235294,32.47058824,1.117647059,0,9.049180328
Jason Holder,259,211,13,18,27,9.592592593,7.814814815,122.7488152,165.1,1461,53,0,46,3.589130435,31.76086957,1.152173913,0,8.849182314
Jasprit Bumrah,56,66,4,1,27,2.074074074,2.444444444,84.84848485,456.2,3379,145,8,120,3.801666667,28.15833333,1.208333333,0.066666667,7.406839106
Javon Searles,8,6,0,1,2,4,3,133.3333333,7,89,2,0,3,2.333333333,29.66666667,0.666666667,0,12.71428571
Jayant Yadav,40,36,2,1,5,8,7.2,111.1111111,65,445,8,0,20,3.25,22.25,0.4,0,6.846153846
Jaydev Unadkat,173,140,14,6,27,6.407407407,5.185185185,123.5714286,322.8,2870,91,3,93,3.470967742,30.86021505,0.978494624,0.032258065,8.890954151
Jean-Paul Duminy,2029,1636,126,79,77,26.35064935,21.24675325,124.0220049,112.6,834,23,0,49,2.297959184,17.02040816,0.469387755,0,7.406749556
Jeevan Mendis,23,27,0,0,3,7.666666667,9,85.18518519,5,36,1,0,2,2.5,18,0.5,0,7.2
Jerome Taylor,3,3,0,0,2,1.5,1.5,100,19.3,157,6,0,5,3.86,31.4,1.2,0,8.134715026
Jesse Ryder,604,458,69,19,29,20.82758621,15.79310345,131.8777293,39.2,303,8,1,16,2.45,18.9375,0.5,0.0625,7.729591837
Jhye Richardson,15,24,2,0,2,7.5,12,62.5,11,117,3,0,3,3.666666667,39,1,0,10.63636364
Joe Root,10,15,1,0,1,10,15,66.66666667,2,14,0,0,1,2,14,0,0,7
Jofra Archer,199,128,11,14,25,7.96,5.12,155.46875,156.9,1171,48,2,40,3.9225,29.275,1.2,0.05,7.463352454
Joginder Sharma,36,30,1,2,6,6,5,120,42.4,419,12,0,15,2.826666667,27.93333333,0.8,0,9.882075472
Johan Botha,409,359,39,5,28,14.60714286,12.82142857,113.9275766,115.4,800,25,0,34,3.394117647,23.52941176,0.735294118,0,6.932409012
Johan van der Wath,18,16,1,1,3,6,5.333333333,112.5,12,129,3,0,3,4,43,1,0,10.75
Josh Hazlewood,19,28,1,0,6,3.166666667,4.666666667,67.85714286,100.3,810,35,1,27,3.714814815,30,1.296296296,0.037037037,8.075772682
Justin Kemp,26,24,1,1,2,13,12,108.3333333,7.2,54,3,0,5,1.44,10.8,0.6,0,7.5
KC Cariappa,24,21,0,2,5,4.8,4.2,114.2857143,36,348,8,0,11,3.272727273,31.63636364,0.727272727,0,9.666666667
KM Asif,0,2,0,0,1,0,2,0,22.1,231,7,0,7,3.157142857,33,1,0,10.45248869
KP Appanna,2,4,0,0,3,0.666666667,1.333333333,50,36,286,9,0,13,2.769230769,22,0.692307692,0,7.944444444
Kagiso Rabada,186,179,16,6,28,6.642857143,6.392857143,103.9106145,259.8,2198,106,2,69,3.765217391,31.85507246,1.536231884,0.028985507,8.460354119
Kamlesh Nagarkoti,22,33,1,0,7,3.142857143,4.714285714,66.66666667,30,285,5,0,11,2.727272727,25.90909091,0.454545455,0,9.5
Kamran Khan,3,5,0,0,3,1,1.666666667,60,26.4,224,9,0,9,2.933333333,24.88888889,1,0,8.484848485
Kane Richardson,36,39,2,1,4,9,9.75,92.30769231,55.5,472,19,0,15,3.7,31.46666667,1.266666667,0,8.504504505
Kane Williamson,2101,1667,181,64,75,28.01333333,22.22666667,126.034793,3,31,0,0,2,1.5,15.5,0,0,10.33333333
Karan Goel,218,231,17,9,17,12.82352941,13.58823529,94.37229437,11,93,0,0,6,1.833333333,15.5,0,0,8.454545455
Karanveer Singh,12,17,1,0,4,3,4.25,70.58823529,34,321,12,0,9,3.777777778,35.66666667,1.333333333,0,9.441176471
Karn Sharma,320,279,18,14,37,8.648648649,7.540540541,114.6953405,223.1,1833,69,1,73,3.056164384,25.10958904,0.945205479,0.01369863,8.216046616
Kartik Tyagi,13,16,1,0,7,1.857142857,2.285714286,81.25,65.8,662,15,0,19,3.463157895,34.84210526,0.789473684,0,10.06079027
Keemo Paul,18,24,1,1,6,3,4,75,27.1,237,9,0,8,3.3875,29.625,1.125,0,8.745387454
Kemar Roach,10,9,1,0,1,10,9,111.1111111,8,80,0,0,2,4,40,0,0,10
Kevin Pietersen,1001,743,91,40,36,27.80555556,20.63888889,134.7240915,29,215,7,0,13,2.230769231,16.53846154,0.538461538,0,7.413793103
Kevon Cooper,116,68,9,8,14,8.285714286,4.857142857,170.5882353,96,757,33,1,25,3.84,30.28,1.32,0.04,7.885416667
Khaleel Ahmed,1,7,0,0,5,0.2,1.4,14.28571429,161.6,1402,57,2,43,3.758139535,32.60465116,1.325581395,0.046511628,8.675742574
