Player,Team,Matches,Runs,Balls Faced,Batting_50s,Batting_100s,T(4s),T(6s),Overs,Runs_Given,Wickets,Batting_Average,StrikeRate,Bowling_Average,Bowling_SR,Economy
M Morkel,Rajasthan Royals,0.0,4,1,0,0,1,0,271.0,2136,77,0.0,155.27638190954772,27.74025974025974,21.116883116883116,7.069767441860465
A Mithun,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,48.0,477,7,0.0,101.29870129870127,68.14285714285714,41.142857142857146,9.0
C Nanda,Mumbai Indians,0.0,0,0,0,0,0,0,8.0,58,2,0.0,53.333333333333336,29.0,24.0,12.333333333333334
AD Mathews,Kolkata Knight Riders,0.0,2,2,0,0,0,0,131.0,1095,27,0.0,113.88888888888889,40.55555555555556,29.11111111111111,9.433962264150944
J Botha,Rajasthan Royals,0.0,1,1,0,0,0,0,115.0,818,23,0.0,125.531914893617,35.56521739130435,30.0,9.657039711191336
AB McDonald,Delhi Daredevils,0.0,0,0,0,0,0,0,31.0,263,11,0.0,134.66666666666666,23.90909090909091,16.90909090909091,7.0
Y Nagar,Delhi Daredevils,0.0,0,0,0,0,0,0,11.0,125,3,0.0,127.18676122931444,41.666666666666664,22.0,8.0
CK Langeveldt,Kolkata Knight Riders,0.0,0,0,0,0,0,0,26.0,199,13,0.0,116.16161616161617,15.307692307692308,12.0,8.272727272727273
R Ashwin,Chennai Super Kings,0.0,1,1,0,0,0,0,750.0,5435,174,0.0,104.375,31.235632183908045,25.862068965517242,10.8
Jaskaran Singh,Deccan Chargers,4.0,0,0,0,0,0,0,17.0,174,6,0.0,79.16666666666666,29.0,17.0,9.333333333333334
SW Tait,Rajasthan Royals,0.0,0,0,0,0,0,0,78.0,668,22,0.0,58.333333333333336,30.363636363636363,21.272727272727273,11.31868131868132
A Uniyal,Rajasthan Royals,0.0,0,0,0,0,0,0,6.0,67,2,0.0,119.25133689839572,33.5,18.0,8.714153561517115
AA Jhunjhunwala,Rajasthan Royals,0.0,0,1,0,0,0,0,14.0,130,1,0.0,109.9009900990099,130.0,84.0,9.533527696793003
R Sathish,Mumbai Indians,0.0,1,1,0,0,0,0,23.0,233,2,0.0,100.0,116.5,69.0,8.431637981048155
R McLaren,Mumbai Indians,0.0,0,0,0,0,0,0,59.0,558,12,0.0,107.07964601769912,46.5,29.5,9.540229885057473
AG Murtaza,Mumbai Indians,0.0,0,0,0,0,0,0,44.0,322,9,0.0,122.40663900414938,35.77777777777778,29.333333333333332,9.5
JM Kemp,Chennai Super Kings,0.0,0,0,0,0,0,0,7.0,58,3,0.0,120.0,19.333333333333332,14.0,8.716666666666667
S Ladda,Delhi Daredevils,0.0,0,0,0,0,0,0,23.0,225,5,0.0,100.0,45.0,27.6,7.406839105655415
Bipul Sharma,Kings XI Punjab,17.0,0,0,0,0,0,0,70.0,581,17,0.0,0.0,34.1764705882353,24.705882352941178,9.825783972125434
SE Bond,Kolkata Knight Riders,0.0,0,0,0,0,0,0,31.0,225,8,0.0,75.0,28.125,23.25,9.942028985507246
KA Pollard,Mumbai Indians,0.0,26,14,0,0,1,3,244.0,2200,62,0.0,100.0,35.483870967741936,23.612903225806452,11.866666666666667
S Narwal,Rajasthan Royals,0.0,0,0,0,0,0,0,17.0,203,5,0.0,122.97674418604652,40.6,20.4,7.777777777777778
UT Yadav,Delhi Daredevils,0.0,0,0,0,0,0,0,507.0,4442,142,0.0,138.3987761346252,31.281690140845072,21.422535211267604,9.019488428745433
SJ Srivastava,Kings XI Punjab,0.0,0,0,0,0,0,0,47.0,444,13,0.0,139.91688538932635,34.15384615384615,21.692307692307693,8.727272727272727
R Sharma,Deccan Chargers,0.0,0,0,0,0,0,0,154.0,1100,38,0.0,146.53465346534654,28.94736842105263,24.31578947368421,10.88888888888889
J Theron,Kings XI Punjab,0.0,0,0,0,0,0,0,36.0,311,11,0.0,85.48387096774194,28.272727272727273,19.636363636363637,8.958442924776435
NLTC Perera,Kochi Tuskers Kerala,0.0,3,3,0,0,0,0,114.0,1031,31,0.0,93.87755102040816,33.25806451612903,22.06451612903226,7.719298245614035
PD Collingwood,Delhi Daredevils,0.0,0,0,0,0,0,0,14.0,101,4,0.0,100.0,25.25,21.0,10.727969348659004
SB Wagh,Pune Warriors,0.0,0,0,0,0,0,0,17.0,147,5,0.0,116.47509578544062,29.4,20.4,9.34959349593496
DE Bollinger,Chennai Super Kings,0.0,0,1,0,0,0,0,95.0,716,35,0.0,135.59322033898303,20.457142857142856,16.285714285714285,8.587719298245615
JD Unadkat,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,352.0,3219,93,0.0,128.6549707602339,34.61290322580645,22.70967741935484,9.3598233995585
AP Dole,Rajasthan Royals,0.0,0,0,0,0,0,0,11.0,114,5,0.0,125.39159109645507,22.8,13.2,8.847402597402597
AN Ahmed,Mumbai Indians,0.0,0,0,0,0,0,0,57.0,515,12,0.0,141.28440366972478,42.916666666666664,28.5,8.820512820512821
MR Marsh,Deccan Chargers,0.0,0,0,0,0,0,0,92.0,803,37,0.0,100.0,21.7027027027027,14.91891891891892,12.555555555555555
L Ablish,Kings XI Punjab,0.0,0,0,0,0,0,0,7.0,76,3,0.0,142.47787610619469,25.333333333333332,14.0,60.0
AJ Finch,Rajasthan Royals,0.0,9,9,0,0,0,1,7.0,67,1,0.0,96.29629629629628,67.0,42.0,8.75
STR Binny,Mumbai Indians,0.0,1,1,0,0,0,0,99.0,763,22,0.0,172.72727272727272,34.68181818181818,27.0,8.583175205566098
ND Doshi,Rajasthan Royals,0.0,0,0,0,0,0,0,9.0,79,2,0.0,76.47058823529412,39.5,27.0,26.666666666666668
TG Southee,Rajasthan Royals,0.0,0,1,0,0,0,0,201.0,1774,45,0.0,133.33333333333331,39.422222222222224,26.8,9.27777777777778
S Randiv,Chennai Super Kings,0.0,0,0,0,0,0,0,29.0,223,6,0.0,76.92307692307693,37.166666666666664,29.0,10.0
DT Christian,Deccan Chargers,0.0,8,4,0,0,0,1,145.0,1218,36,0.0,101.28205128205128,33.833333333333336,24.166666666666668,8.6
AL Menaria,Rajasthan Royals,0.0,6,2,0,0,0,1,18.0,144,2,0.0,132.70643549808992,72.0,54.0,13.0
RV Gomez,Kochi Tuskers Kerala,0.0,0,0,0,0,0,0,16.0,130,5,0.0,137.5,26.0,19.2,9.066666666666666
JEC Franklin,Mumbai Indians,0.0,0,1,0,0,0,0,25.0,225,9,0.0,30.76923076923077,25.0,16.666666666666668,13.5
AC Thomas,Pune Warriors,0.0,0,0,0,0,0,0,52.0,416,14,0.0,124.08759124087592,29.714285714285715,22.285714285714285,7.0
WD Parnell,Pune Warriors,0.0,0,0,0,0,0,0,118.0,968,34,0.0,37.5,28.470588235294116,20.823529411764707,8.707865168539325
RN ten Doeschate,Kolkata Knight Riders,0.0,0,0,0,0,0,0,13.0,94,1,0.0,73.58490566037736,94.0,78.0,7.666666666666667
S Nadeem,Delhi Daredevils,0.0,0,0,0,0,0,0,234.0,1800,43,0.0,33.33333333333333,41.86046511627907,32.651162790697676,11.555555555555555
BA Bhatt,Kings XI Punjab,0.0,0,0,0,0,0,0,48.0,408,11,0.0,91.30434782608695,37.09090909090909,26.181818181818183,8.108791903858318
JJ van der Wath,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,12.0,134,3,0.0,133.33333333333331,44.666666666666664,24.0,7.5625
S Aravind,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,126.0,1057,42,0.0,153.57142857142858,25.166666666666668,18.0,9.0
R Ninan,Royal Challengers Bangalore,0.0,0,1,0,0,0,0,6.0,65,3,0.0,157.14285714285714,21.666666666666668,12.0,6.333333333333333
Shakib Al Hasan,Kolkata Knight Riders,52.0,7,4,0,0,1,0,246.0,1864,61,0.1346153846153846,118.29652996845424,30.557377049180328,24.19672131147541,11.5
J Syed Mohammad,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,32.0,286,8,0.0,129.56810631229237,35.75,24.0,8.690654672663669
VR Aaron,Delhi Daredevils,0.0,1,1,0,0,0,0,163.0,1527,44,0.0,135.20408163265304,34.70454545454545,22.227272727272727,7.451377633711508
JE Taylor,Pune Warriors,0.0,0,0,0,0,0,0,19.0,167,6,0.0,171.42857142857142,27.833333333333332,19.0,9.0
KMDN Kulasekara,Chennai Super Kings,0.0,0,0,0,0,0,0,17.0,122,4,0.0,122.6003490401396,30.5,25.5,9.451219512195122
P Parameswaran,Kochi Tuskers Kerala,0.0,0,0,0,0,0,0,25.0,226,8,0.0,137.1069182389937,28.25,18.75,11.025641025641024
B Kumar,Pune Warriors,0.0,0,1,0,0,0,0,647.0,5051,175,0.0,73.68421052631578,28.86285714285714,22.18285714285714,7.333333333333333
AA Chavan,Rajasthan Royals,0.0,0,0,0,0,0,0,41.0,339,8,0.0,134.14475819539112,42.375,30.75,7.195767195767195
JP Faulkner,Kings XI Punjab,0.0,3,5,0,0,0,0,201.0,1849,61,0.0,105.78034682080926,30.311475409836067,19.770491803278688,8.013268156424582
GJ Maxwell,Delhi Daredevils,0.0,8,8,0,0,2,0,156.0,1311,37,0.0,107.6923076923077,35.432432432432435,25.2972972972973,8.168567807351078
M de Lange,Mumbai Indians,0.0,0,0,0,0,0,0,18.0,171,5,0.0,143.90243902439025,34.2,21.6,7.882352941176471
MN Samuels,Pune Warriors,0.0,0,0,0,0,0,0,35.0,285,9,0.0,23.076923076923077,31.666666666666668,23.333333333333332,9.607142857142858
