,TO,RG,WT,Avg,Sr,Eco,5W,3W
Matthew Short,4.0,25,0,0.0,0.0,6.25,0,0
Andre Russell,252.1,2351,96,24.489583333333332,15.75625,9.325664418881397,1,11
Vijaykumar Vyshak,24.0,253,9,28.11111111111111,16.0,10.541666666666666,0,1
Wanindu Hasaranga,29.0,258,9,28.666666666666668,19.333333333333332,8.89655172413793,0,0
Yudhvir Singh,8.0,70,3,23.333333333333332,16.0,8.75,0,0
Arjun Tendulkar,9.5,92,3,30.666666666666668,19.0,9.68421052631579,0,0
Duan Jansen,4.0,53,1,53.0,24.0,13.25,0,0
Noor Ahmad,46.7,369,16,23.0625,17.512500000000003,7.901498929336188,0,1
Matheesha Pathirana,52.7,423,21,20.142857142857142,15.057142857142859,8.026565464895635,0,2
Naveen-ul-Haq,28.0,219,11,19.90909090909091,15.272727272727273,7.821428571428571,0,3
Marcus Stoinis,118.7,1148,39,29.435897435897434,18.261538461538464,9.671440606571188,0,4
Liam Livingstone,30.6,309,8,38.625,22.950000000000003,10.098039215686274,0,1
Ishant Sharma,357.09999999999997,2907,82,35.451219512195124,26.129268292682926,8.140576869224308,1,3
Kulwant Khejroliya,19.7,217,5,43.4,23.639999999999997,11.01522842639594,0,0
Anukul Roy,17.0,131,5,26.2,20.4,7.705882352941177,0,0
Nitish Rana,29.6,252,10,25.2,17.76,8.513513513513512,0,0
Mayank Dagar,11.0,83,1,83.0,66.0,7.545454545454546,0,0
Jayant Yadav,65.0,445,8,55.625,48.75,6.846153846153846,0,0
Rahul Tewatia,140.3,1111,32,34.71875,26.306250000000002,7.9187455452601565,0,4
David Wiese,49.2,440,16,27.5,18.450000000000003,8.94308943089431,0,1
Vaibhav Arora,33.5,310,8,38.75,25.125,9.253731343283581,0,0
Kuldip Yadav,9.0,84,2,42.0,27.0,9.333333333333334,0,0
Gurnoor Brar,3.0,42,0,0.0,0.0,14.0,0,0
Ayush Badoni,2.1,11,2,5.5,6.300000000000001,5.238095238095238,0,0
Harshit Rana,22.0,198,6,33.0,22.0,9.0,0,0
Akeal Hosein,4.0,40,1,40.0,24.0,10.0,0,0
Abhishek Sharma,38.0,338,9,37.55555555555556,25.333333333333332,8.894736842105264,0,0
Josh Hazlewood,100.3,810,35,23.142857142857142,17.194285714285712,8.075772681954138,0,4
Mahipal Lomror,14.0,109,1,109.0,84.0,7.785714285714286,0,0
Akash Madhwal,25.3,219,14,15.642857142857142,10.842857142857143,8.656126482213438,1,3
Kartik Tyagi,65.80000000000001,662,15,44.13333333333333,26.320000000000004,10.06079027355623,0,0
Raghav Goyal,4.0,33,0,0.0,0.0,8.25,0,0
Tristan Stubbs,2.0,14,1,14.0,12.0,7.0,0,0
Mohsin Khan,43.0,304,17,17.88235294117647,15.176470588235293,7.069767441860465,0,3
Swapnil Singh,12.0,108,1,108.0,72.0,9.0,0,0
Vivrant Sharma,3.0,37,0,0.0,0.0,12.333333333333334,0,0
Obed McCoy,26.5,250,11,22.727272727272727,14.454545454545455,9.433962264150944,0,1
Chris Jordan,110.8,1070,30,35.666666666666664,22.16,9.657039711191336,0,3
Joe Root,2.0,14,0,0.0,0.0,7.0,0,0
Glenn Phillips,5.0,40,2,20.0,15.0,8.0,0,0
Praveen Dubey,11.0,91,1,91.0,66.0,8.272727272727273,0,0
Nitish Kumar Reddy,5.0,54,0,0.0,0.0,10.8,0,0
Himanshu Sharma,3.0,28,0,0.0,0.0,9.333333333333334,0,0
Darshan Nalkande,9.1,103,3,34.333333333333336,18.2,11.31868131868132,0,0
Shivam Mavi,108.1,942,30,31.4,21.619999999999997,8.714153561517115,0,1
Adam Milne,34.3,327,7,46.714285714285715,29.4,9.533527696793003,0,0
Dwayne Bravo,517.0999999999999,4360,183,23.825136612021858,16.954098360655735,8.431637981048155,0,16
Shivam Dube,17.4,166,4,41.5,26.099999999999998,9.540229885057473,0,0
Kamlesh Nagarkoti,30.0,285,5,57.0,36.0,9.5,0,0
Daniel Sams,60.0,523,14,37.357142857142854,25.714285714285715,8.716666666666667,0,2
Jasprit Bumrah,456.2,3379,145,23.30344827586207,18.877241379310345,7.406839105655415,1,19
Basil Thampi,86.10000000000001,846,22,38.45454545454545,23.481818181818184,9.825783972125434,0,2
Tymal Mills,34.5,343,11,31.181818181818183,18.818181818181817,9.942028985507246,0,1
Odean Smith,15.0,178,6,29.666666666666668,15.0,11.866666666666667,0,1
Wanindu Hasaranga de Silva,63.0,490,26,18.846153846153847,14.538461538461538,7.777777777777778,1,2
Varun Aaron,164.2,1481,44,33.65909090909091,22.39090909090909,9.019488428745433,0,1
Dushmantha Chameera,44.0,384,9,42.666666666666664,29.333333333333332,8.727272727272727,0,0
Romario Shepherd,9.0,98,3,32.666666666666664,18.0,10.88888888888889,0,0
Prasidh Krishna,190.09999999999997,1703,49,34.755102040816325,23.27755102040816,8.958442924776435,0,5
Nathan Coulter-Nile,142.5,1100,48,22.916666666666668,17.8125,7.719298245614035,0,7
Riyan Parag,26.1,280,4,70.0,39.150000000000006,10.727969348659004,0,0
Venkatesh Iyer,12.3,115,3,38.333333333333336,24.600000000000005,9.34959349593496,0,0
Andrew Tye,114.0,979,42,23.30952380952381,16.285714285714285,8.587719298245615,1,5
Mukesh Choudhary,45.3,424,16,26.5,16.987499999999997,9.359823399558499,0,3
Kieron Pollard,246.4,2180,69,31.594202898550726,21.42608695652174,8.847402597402597,0,3
Vijay Shankar,39.0,344,9,38.22222222222222,26.0,8.820512820512821,0,0
Abdul Samad,9.0,113,2,56.5,27.0,12.555555555555555,0,0
Yashasvi Jaiswal,0.1,6,0,0.0,0.0,60.0,0,0
Rasikh Salam,8.0,70,0,0.0,0.0,8.75,0,0
Pat Cummins,158.1,1357,45,30.155555555555555,21.08,8.583175205566098,0,4
Dewald Brevis,0.3,8,1,8.0,1.7999999999999998,26.666666666666668,0,0
James Neesham,36.0,334,8,41.75,27.0,9.277777777777779,0,1
Shashank Singh,2.0,20,0,0.0,0.0,10.0,0,0
Jagadeesha Suchith,70.0,602,19,31.68421052631579,22.105263157894736,8.6,0,0
Aman Hakim Khan,1.0,13,0,0.0,0.0,13.0,0,0
Fabian Allen,15.0,136,2,68.0,45.0,9.066666666666666,0,0
Daryl Mitchell,2.0,27,0,0.0,0.0,13.5,0,0
Shreyas Iyer,1.0,7,0,0.0,0.0,7.0,0,0
Pradeep Sangwan,142.4,1240,38,32.63157894736842,22.484210526315792,8.707865168539325,0,3
Simarjeet Singh,18.0,138,4,34.5,27.0,7.666666666666667,0,0
Sean Abbott,9.0,104,1,104.0,54.0,11.555555555555555,0,0
Shreyas Gopal,158.1,1282,49,26.163265306122447,19.359183673469385,8.108791903858318,0,5
Ravisrinivasan Sai Kishore,16.0,121,6,20.166666666666668,16.0,7.5625,0,0
Ramandeep Singh,6.0,54,6,9.0,6.0,9.0,0,1
Prashant Solanki,6.0,38,2,19.0,18.0,6.333333333333333,0,0
Sanjay Yadav,2.0,23,0,0.0,0.0,11.5,0,0
Siddarth Kaul,200.1,1739,58,29.982758620689655,20.7,8.690654672663669,0,4
Shakib Al Hasan,246.79999999999998,1839,63,29.19047619047619,23.504761904761903,7.451377633711508,0,2
George Garton,15.0,135,3,45.0,30.0,9.0,0,0
Dan Christian,16.4,155,4,38.75,24.599999999999998,9.451219512195122,0,0
Tom Curran,39.00000000000001,430,13,33.07692307692308,18.000000000000004,11.025641025641024,0,1
Ripal Patel,3.0,22,0,0.0,0.0,7.333333333333333,0,0
Mohammad Nabi,56.7,408,13,31.384615384615383,26.169230769230772,7.195767195767195,0,1
Chris Morris,286.4,2295,95,24.157894736842106,18.088421052631578,8.013268156424582,0,12
Moises Henriques,157.79999999999998,1289,42,30.69047619047619,22.54285714285714,8.168567807351078,0,2
Sandeep Warrier,17.0,134,2,67.0,51.0,7.882352941176471,0,0
Kyle Jamieson,28.0,269,9,29.88888888888889,18.666666666666668,9.607142857142858,0,1
Tabraiz Shamsi,20.0,181,3,60.333333333333336,40.0,9.05,0,0
Rohit Sharma,56.3,453,15,30.2,22.519999999999996,8.046181172291297,0,2
Ishan Porel,4.0,39,1,39.0,24.0,9.75,0,0
Dhawal Kulkarni,296.29999999999995,2474,86,28.767441860465116,20.67209302325581,8.349645629429633,0,7
Lungi Ngidi,54.0,448,25,17.92,12.96,8.296296296296296,0,4
Imran Tahir,218.40000000000003,1703,82,20.76829268292683,15.98048780487805,7.797619047619047,0,12
Kane Richardson,55.5,472,19,24.842105263157894,17.526315789473685,8.504504504504505,0,1
Chris Woakes,73.2,658,30,21.933333333333334,14.640000000000002,8.989071038251366,0,3
Lukman Meriwala,3.0,32,1,32.0,18.0,10.666666666666666,0,0
Jalaj Saxena,3.0,27,0,0.0,0.0,9.0,0,0
Jhye Richardson,11.0,117,3,39.0,22.0,10.636363636363637,0,0
Harbhajan Singh,568.8,4030,150,26.866666666666667,22.752,7.085091420534459,1,11
Mujeeb Ur Rahman,72.2,592,19,31.157894736842106,22.8,8.199445983379501,0,1
Shahbaz Nadeem,235.10000000000002,1784,48,37.166666666666664,29.387500000000003,7.588260314759676,0,1
James Pattinson,35.3,320,11,29.09090909090909,19.254545454545454,9.06515580736544,0,0
Sheldon Cottrell,20.0,176,6,29.333333333333332,20.0,8.8,0,0
Dale Steyn,361.6,2508,97,25.855670103092784,22.367010309278353,6.935840707964601,0,8
Ankit Rajpoot,88.1,814,24,33.916666666666664,22.024999999999995,9.23950056753689,1,2
Isuru Udana,29.0,282,8,35.25,21.75,9.724137931034482,0,0
Kane Williamson,3.0,31,0,0.0,0.0,10.333333333333334,0,0
Chris Green,2.5,24,0,0.0,0.0,9.6,0,0
Monu Kumar,2.0,20,0,0.0,0.0,10.0,0,0
David Warner,0.1,2,0,0.0,0.0,20.0,0,0
Chris Gayle,91.4,729,18,40.5,30.466666666666672,7.975929978118161,0,1
Suresh Raina,150.0,1118,25,44.72,36.0,7.453333333333333,0,0
Mitchell McClenaghan,211.8,1803,71,25.3943661971831,17.898591549295777,8.512747875354107,0,8
Ben Cutting,46.5,429,10,42.9,27.9,9.225806451612904,0,0
Keemo Paul,27.1,237,9,26.333333333333332,18.06666666666667,8.745387453874539,0,2
Hardus Viljoen,23.0,222,7,31.714285714285715,19.714285714285715,9.652173913043478,0,0
Mandeep Singh,2.0,26,0,0.0,0.0,13.0,0,0
Colin de Grandhomme,35.599999999999994,319,6,53.166666666666664,35.599999999999994,8.960674157303373,0,1
Lasith Malinga,468.2999999999999,3366,170,19.8,16.528235294117643,7.187700192184499,1,19
Sandeep Lamichhane,35.0,292,13,22.46153846153846,16.153846153846153,8.342857142857143,0,2
Prayas Ray Barman,4.0,56,0,0.0,0.0,14.0,0,0
Hanuma Vihari,7.0,47,1,47.0,42.0,6.714285714285714,0,0
Stuart Binny,99.0,758,22,34.45454545454545,27.0,7.656565656565657,0,0
Pawan Negi,119.2,939,34,27.61764705882353,21.03529411764706,7.87751677852349,0,2
Scott Kuggeleijn,8.0,71,2,35.5,24.0,8.875,0,0
Yusuf Pathan,190.7,1415,42,33.69047619047619,27.24285714285714,7.420031463030939,0,3
Harry Gurney,27.0,238,7,34.0,23.142857142857142,8.814814814814815,0,0
Sudhesan Midhun,2.0,27,0,0.0,0.0,13.5,0,0
Carlos Brathwaite,41.800000000000004,379,13,29.153846153846153,19.292307692307695,9.066985645933013,0,1
Sarfaraz Khan,0.2,6,0,0.0,0.0,30.0,0,0
Ish Sodhi,30.1,202,9,22.444444444444443,20.06666666666667,6.710963455149502,0,1
Sherfane Rutherford,6.5,59,1,59.0,39.0,9.076923076923077,0,0
Prithvi Raj,5.0,57,1,57.0,30.0,11.4,0,0
KC Cariappa,36.0,348,8,43.5,27.0,9.666666666666666,0,0
Oshane Thomas,10.0,79,5,15.8,12.0,7.9,0,0
Barinder Sran,80.3,757,18,42.05555555555556,26.766666666666666,9.427148194271481,0,1
Shane Watson,336.90000000000003,2682,92,29.152173913043477,21.971739130434784,7.960819234194122,0,8
Daniel Christian,129.9,1037,34,30.5,22.923529411764708,7.983063895304079,0,0
Vinay Kumar,351.29999999999995,2966,105,28.247619047619047,20.07428571428571,8.442926273840024,0,10
Mitchell Johnson,204.8,1702,61,27.901639344262296,20.14426229508197,8.310546875,0,3
Billy Stanlake,24.0,200,7,28.571428571428573,20.571428571428573,8.333333333333334,0,0
Ben Laughlin,27.5,282,10,28.2,16.5,10.254545454545454,0,0
D'Arcy Short,3.0,19,1,19.0,18.0,6.333333333333333,0,0
Akila Dananjaya,4.0,47,0,0.0,0.0,11.75,0,0
Yuvraj Singh,144.5,1077,36,29.916666666666668,24.083333333333332,7.453287197231834,0,4
Corey Anderson,48.9,518,11,47.09090909090909,26.672727272727272,10.593047034764826,0,0
Liam Plunkett,25.0,225,4,56.25,37.5,9.0,0,1
Manoj Tiwary,7.0,83,1,83.0,42.0,11.857142857142858,0,0
Jean-Paul Duminy,112.6,834,23,36.26086956521739,29.373913043478257,7.406749555950267,0,1
Anureet Singh,68.0,623,18,34.611111111111114,22.666666666666668,9.161764705882353,0,1
Ankit Sharma,61.1,450,12,37.5,30.55,7.3649754500818325,0,0
Javon Searles,7.0,89,2,44.5,21.0,12.714285714285714,0,0
Junior Dala,3.0,34,0,0.0,0.0,11.333333333333334,0,0
Aniket Choudhary,16.5,144,5,28.8,19.8,8.727272727272727,0,0
Sreenath Aravind,126.4,1039,45,23.08888888888889,16.853333333333335,8.219936708860759,0,3
Travis Head,7.6,81,2,40.5,22.799999999999997,10.657894736842106,0,0
Ashish Nehra,317.2,2495,106,23.537735849056602,17.954716981132073,7.865699873896595,0,14
Bipul Sharma,70.6,572,17,33.64705882352941,24.917647058823526,8.101983002832862,0,0
Ashok Dinda,252.00000000000003,2073,69,30.043478260869566,21.913043478260875,8.226190476190474,0,5
Rajat Bhatia,272.0,2020,71,28.450704225352112,22.985915492957748,7.426470588235294,0,4
Praveen Kumar,419.19999999999993,3251,90,36.12222222222222,27.946666666666665,7.755248091603055,0,3
Manpreet Gony,148.0,1287,37,34.78378378378378,24.0,8.695945945945946,0,2
Shivil Kaushik,34.0,297,6,49.5,34.0,8.735294117647058,0,1
Dwayne Smith,89.5,810,26,31.153846153846153,20.653846153846153,9.050279329608939,0,2
Shadab Jakati,180.5,1451,47,30.872340425531913,23.04255319148936,8.038781163434903,0,2
Zaheer Khan,365.59999999999997,2782,102,27.274509803921568,21.505882352941175,7.609409190371992,0,9
Iqbal Abdulla,152.8,1109,40,27.725,22.92,7.257853403141361,0,4
Tejas Baroka,3.3,33,0,0.0,0.0,10.0,0,0
Samuel Badree,43.0,319,11,29.0,23.454545454545453,7.4186046511627906,0,1
Munaf Patel,225.10000000000002,1698,74,22.945945945945947,18.251351351351353,7.543314082629942,1,7
Angelo Mathews,131.5,1079,27,39.96296296296296,29.22222222222222,8.20532319391635,0,2
James Faulkner,202.7,1778,59,30.135593220338983,20.613559322033897,8.77158362111495,2,6
Shubham Agarwal,4.0,42,1,42.0,24.0,10.5,0,0
Nathu Singh,4.0,15,1,15.0,24.0,3.75,0,0
Rahul Tripathi,1.0,12,0,0.0,0.0,12.0,0,0
Ankit Soni,18.1,144,2,72.0,54.300000000000004,7.955801104972375,0,0
Irfan Pathan,337.9,2649,80,33.1125,25.342499999999998,7.839597514057414,0,4
Marlon Samuels,35.4,284,9,31.555555555555557,23.599999999999998,8.022598870056498,0,1
Matt Henry,5.0,71,1,71.0,30.0,14.2,0,0
RP Singh,294.3,2338,90,25.977777777777778,19.62,7.944274549779137,0,11
John Hastings,9.4,66,3,22.0,18.8,7.0212765957446805,0,0
Colin Munro,2.0,15,0,0.0,0.0,7.5,0,0
Brad Hogg,76.2,570,23,24.782608695652176,19.87826086956522,7.480314960629921,0,2
Sarabjit Ladda,23.0,224,5,44.8,27.6,9.73913043478261,0,0
Pardeep Sahu,17.3,146,3,48.666666666666664,34.6,8.439306358381502,0,0
Ashish Reddy,43.0,396,18,22.0,14.333333333333334,9.209302325581396,0,1
Parvez Rasool,33.0,271,4,67.75,49.5,8.212121212121213,0,0
Pravin Tambe,110.0,853,28,30.464285714285715,23.571428571428573,7.754545454545455,0,2
Morne Morkel,271.3,2089,77,27.12987012987013,21.140259740259744,7.699963140434942,0,6
Kyle Abbott,16.0,177,2,88.5,48.0,11.0625,0,0
Thisara Perera,115.39999999999999,1016,31,32.774193548387096,22.335483870967742,8.80415944540728,0,3
Rajagopal Sathish,23.1,232,3,77.33333333333333,46.20000000000001,10.043290043290042,0,0
Albie Morkel,286.70000000000005,2359,85,27.75294117647059,20.237647058823534,8.228113010115102,0,5
Gurkeerat Singh Mann,13.0,97,5,19.4,15.6,7.461538461538462,0,0
Scott Boland,7.0,54,2,27.0,21.0,7.714285714285714,0,0
Virat Kohli,41.1,368,4,92.0,61.650000000000006,8.953771289537713,0,0
Sachin Baby,1.4,8,2,4.0,4.199999999999999,5.714285714285714,0,0
Murali Vijay,6.0,49,0,0.0,0.0,8.166666666666666,0,0
Pragyan Ojha,315.5,2332,89,26.202247191011235,21.269662921348313,7.391442155309034,0,5
Domnic Muthuswami,14.0,101,4,25.25,21.0,7.214285714285714,0,0
Ishwar Pandey,77.0,591,18,32.833333333333336,25.666666666666668,7.675324675324675,0,0
Karanveer Singh,34.0,321,12,26.75,17.0,9.441176470588236,0,2
Ravi Bopara,34.2,292,11,26.545454545454547,18.654545454545456,8.538011695906432,0,1
Abu Nechim,57.2,498,12,41.5,28.600000000000005,8.706293706293707,0,0
Daren Sammy,39.2,350,11,31.818181818181817,21.381818181818183,8.928571428571427,0,1
Pawan Suyal,16.0,151,2,75.5,48.0,9.4375,0,0
Shivam Sharma,19.0,165,4,41.25,28.5,8.68421052631579,0,0
Johan Botha,115.4,800,25,32.0,27.696000000000005,6.932409012131715,0,1
Mitchell Starc,96.4,693,34,20.38235294117647,17.011764705882356,7.188796680497925,0,4
Ronit More,5.5,59,1,59.0,33.0,10.727272727272727,0,0
Rusty Theron,36.0,293,9,32.55555555555556,24.0,8.13888888888889,0,0
Gurinder Sandhu,8.0,82,1,82.0,48.0,10.25,0,0
Ryan ten Doeschate,13.0,94,2,47.0,39.0,7.230769230769231,0,0
Marchant de Lange,18.0,169,5,33.8,21.6,9.38888888888889,0,1
Beuran Hendricks,25.0,235,9,26.11111111111111,16.666666666666668,9.4,0,1
Azhar Mahmood,88.5,700,29,24.137931034482758,18.310344827586206,7.909604519774011,0,4
Jacques Kallis,290.2,2293,65,35.276923076923076,26.787692307692303,7.90144727773949,0,2
Rahul Sharma,154.4,1086,40,27.15,23.160000000000004,7.033678756476684,0,1
Parvinder Awana,124.3,1029,39,26.384615384615383,19.123076923076923,8.27835880933226,0,4
Lakshmipathy Balaji,250.9,2028,76,26.68421052631579,19.807894736842105,8.082901554404145,1,7
Murali Kartik,191.4,1388,31,44.774193548387096,37.04516129032258,7.2518286311389755,0,1
Ben Hilfenhaus,62.0,479,22,21.772727272727273,16.90909090909091,7.725806451612903,0,1
Muttiah Muralitharan,253.6,1696,63,26.92063492063492,24.152380952380952,6.687697160883281,0,5
Laxmi Shukla,51.800000000000004,447,15,29.8,20.720000000000002,8.629343629343628,0,2
Venugopal Rao,36.0,337,6,56.166666666666664,36.0,9.36111111111111,0,0
Ravi Rampaul,43.4,298,14,21.285714285714285,18.599999999999998,6.8663594470046085,0,1
Suryakumar Yadav,1.0,8,0,0.0,0.0,8.0,0,0
Rahul Shukla,20.0,208,5,41.6,24.0,10.4,0,0
Kevon Cooper,96.0,757,33,22.939393939393938,17.454545454545453,7.885416666666667,0,5
Lendl Simmons,3.0,34,1,34.0,18.0,11.333333333333334,0,0
Sachin Rana,2.4,18,0,0.0,0.0,7.5,0,0
David Hussey,52.5,474,8,59.25,39.375,9.028571428571428,0,0
Krishmar Santokie,8.0,90,3,30.0,16.0,11.25,0,0
