fullName,T50s,T100s,TRuns,TBF,Avg_Run,Avg_SR,Matches,Dismissals,DuckOuts,MostCommonPosition,Fours,Sixes,RF(50s),RF(100s),DuckOutPercentage,StrikeRate
Abhishek Sharma,4,0,893.0,650.0,19.844444444444445,116.77866666666667,45,39,2,2,92.0,31.0,0.08888888888888889,0.0,4.444444444444445,137.3846153846154
Abishek Porel,0,0,33.0,31.0,8.25,88.85249999999999,4,4,0,1,1.0,2.0,0.0,0.0,0.0,106.4516129032258
Abu Nechim,0,0,36.0,26.0,6.0,190.9333333333333,6,1,0,2,4.0,1.0,0.0,0.0,0.0,138.46153846153845
Adam Gilchrist,11,2,2069.0,1495.0,25.8625,118.646875,80,76,7,1,239.0,92.0,0.1375,0.025,8.75,138.39464882943145
Adam Milne,0,0,23.0,29.0,3.8333333333333335,54.85999999999999,6,4,2,2,0.0,1.0,0.0,0.0,33.33333333333333,79.3103448275862
Adam Voges,0,0,181.0,143.0,25.857142857142858,124.40714285714286,7,4,0,1,15.0,3.0,0.0,0.0,0.0,126.57342657342659
Adam Zampa,0,0,15.0,24.0,3.0,56.504,5,5,1,2,1.0,0.0,0.0,0.0,20.0,62.5
Adil Rashid,0,0,22.0,16.0,11.0,135.895,2,2,0,1,2.0,1.0,0.0,0.0,0.0,137.5
Aditya Dole,0,0,34.0,22.0,17.0,133.32999999999998,2,2,0,1,3.0,1.0,0.0,0.0,0.0,154.54545454545453
Aditya Tare,1,0,339.0,273.0,12.555555555555555,118.83592592592593,27,24,5,1,40.0,11.0,0.037037037037037035,0.0,18.51851851851852,124.17582417582418
Adrian Barath,0,0,42.0,42.0,14.0,77.40666666666667,3,2,0,2,5.0,1.0,0.0,0.0,0.0,100.0
Aiden Blizzard,1,0,120.0,90.0,17.142857142857142,98.00571428571428,7,7,1,2,21.0,2.0,0.14285714285714285,0.0,14.285714285714285,133.33333333333331
Aiden Markram,4,0,775.0,590.0,25.0,122.82032258064515,31,24,1,2,55.0,31.0,0.12903225806451613,0.0,3.225806451612903,131.35593220338984
Ajantha Mendis,0,0,3.0,6.0,1.0,50.0,3,2,1,2,0.0,0.0,0.0,0.0,33.33333333333333,50.0
Ajinkya Rahane,30,2,4400.0,3565.0,27.67295597484277,105.01641509433962,159,142,13,2,455.0,96.0,0.18867924528301888,0.012578616352201259,8.176100628930817,123.42215988779803
Ajit  Chandila,0,0,4.0,7.0,2.0,33.33,2,0,1,1,0.0,0.0,0.0,0.0,50.0,57.14285714285714
Ajit Agarkar,0,0,179.0,154.0,9.944444444444445,120.93277777777777,18,9,0,1,13.0,5.0,0.0,0.0,0.0,116.23376623376625
Akash Deep,0,0,17.0,10.0,8.5,106.25,2,2,1,2,2.0,1.0,0.0,0.0,50.0,170.0
Akeal Hosein,0,0,16.0,10.0,16.0,160.0,1,0,0,1,1.0,1.0,0.0,0.0,0.0,160.0
Akila Dananjaya,0,0,4.0,5.0,4.0,80.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,80.0
Akshath Reddy,0,0,164.0,160.0,16.4,91.888,10,10,0,2,15.0,2.0,0.0,0.0,0.0,102.49999999999999
Akshdeep Nath,0,0,90.0,98.0,9.0,75.28200000000001,10,10,1,1,7.0,2.0,0.0,0.0,10.0,91.83673469387756
Albie Morkel,3,0,974.0,686.0,14.537313432835822,137.1717910447761,67,40,3,1,61.0,55.0,0.04477611940298507,0.0,4.477611940298507,141.98250728862973
Alex Carey,0,0,32.0,29.0,10.666666666666666,106.79333333333334,3,2,0,1,0.0,1.0,0.0,0.0,0.0,110.34482758620689
Alex Hales,0,0,148.0,118.0,24.666666666666668,112.82,6,6,0,1,13.0,6.0,0.0,0.0,0.0,125.42372881355932
Alfonso Thomas,0,0,20.0,19.0,5.0,74.9975,4,2,1,2,1.0,1.0,0.0,0.0,25.0,105.26315789473684
Ali Murtaza,0,0,10.0,14.0,3.3333333333333335,75.0,3,1,0,2,1.0,0.0,0.0,0.0,0.0,71.42857142857143
Alzarri Joseph,0,0,27.0,32.0,5.4,70.74199999999999,5,1,1,2,3.0,0.0,0.0,0.0,20.0,84.375
Aman Hakim Khan,1,0,115.0,104.0,11.5,107.58699999999999,10,9,1,2,8.0,6.0,0.1,0.0,10.0,110.57692307692308
Ambati Rayudu,22,1,4348.0,3409.0,23.502702702702702,114.82356756756757,185,153,13,1,359.0,173.0,0.11891891891891893,0.005405405405405406,7.027027027027027,127.54473452625403
Amit Mishra,0,0,381.0,419.0,6.927272727272728,89.99363636363636,55,30,8,2,31.0,5.0,0.0,0.0,14.545454545454545,90.9307875894988
Amit Paunikar,0,0,49.0,58.0,9.8,65.55199999999999,5,5,1,1,9.0,0.0,0.0,0.0,20.0,84.48275862068965
Amit Singh,0,0,2.0,10.0,0.4,20.0,5,4,3,2,0.0,0.0,0.0,0.0,60.0,20.0
Amit Uniyal,0,0,4.0,7.0,2.0,33.33,2,1,1,1,0.0,0.0,0.0,0.0,50.0,57.14285714285714
Andre Russell,10,0,2262.0,1300.0,23.810526315789474,146.74789473684208,95,78,5,2,150.0,193.0,0.10526315789473684,0.0,5.263157894736842,174.0
Andrew Flintoff,0,0,62.0,53.0,20.666666666666668,122.56,3,2,0,2,5.0,2.0,0.0,0.0,0.0,116.98113207547169
Andrew McDonald,0,0,123.0,100.0,13.666666666666666,109.16666666666667,9,5,1,1,9.0,4.0,0.0,0.0,11.11111111111111,123.0
Andrew Symonds,5,1,974.0,750.0,27.055555555555557,116.86805555555556,36,27,0,1,74.0,41.0,0.1388888888888889,0.027777777777777776,0.0,129.86666666666667
Andrew Tye,0,0,91.0,76.0,7.0,95.38384615384615,13,9,3,1,6.0,5.0,0.0,0.0,23.076923076923077,119.73684210526316
Angelo Mathews,1,0,724.0,575.0,17.658536585365855,117.66512195121952,41,30,2,1,44.0,29.0,0.024390243902439025,0.0,4.878048780487805,125.91304347826086
Aniket Choudhary,0,0,25.0,20.0,8.333333333333334,163.88666666666666,3,1,0,2,1.0,1.0,0.0,0.0,0.0,125.0
Anil Kumble,0,0,35.0,47.0,2.3333333333333335,80.85533333333333,15,3,1,2,3.0,0.0,0.0,0.0,6.666666666666667,74.46808510638297
Anirudh Singh,0,0,63.0,66.0,15.75,69.39,4,4,1,1,6.0,1.0,0.0,0.0,25.0,95.45454545454545
Ankeet Chavan,0,0,12.0,11.0,4.0,116.66333333333334,3,2,0,1,2.0,0.0,0.0,0.0,0.0,109.09090909090908
Ankit Bawne,0,0,12.0,12.0,12.0,100.0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,100.0
Ankit Rajpoot,0,0,26.0,41.0,3.7142857142857144,61.33571428571429,7,5,0,2,2.0,1.0,0.0,0.0,0.0,63.41463414634146
Ankit Sharma,0,0,87.0,67.0,8.7,103.85999999999999,10,7,1,1,7.0,4.0,0.0,0.0,10.0,129.8507462686567
Ankit Soni,0,0,7.0,9.0,2.3333333333333335,116.66666666666667,3,2,2,1,0.0,1.0,0.0,0.0,66.66666666666666,77.77777777777779
Anmolpreet Singh,0,0,134.0,109.0,19.142857142857142,119.67428571428572,7,7,0,2,18.0,3.0,0.0,0.0,0.0,122.93577981651376
Anrich Nortje,0,0,45.0,41.0,4.090909090909091,107.35727272727273,11,4,2,2,6.0,0.0,0.0,0.0,18.181818181818183,109.75609756097562
Anuj Rawat,1,0,220.0,190.0,13.75,94.251875,16,12,4,1,16.0,11.0,0.0625,0.0,25.0,115.78947368421053
Anukul Roy,0,0,23.0,21.0,4.6,73.14200000000001,5,3,2,1,3.0,0.0,0.0,0.0,40.0,109.52380952380953
Anureet Singh,0,0,36.0,47.0,4.5,64.58250000000001,8,4,4,2,2.0,1.0,0.0,0.0,50.0,76.59574468085107
Anustup Majumdar,0,0,87.0,76.0,21.75,114.75,4,4,0,2,7.0,2.0,0.0,0.0,0.0,114.4736842105263
Arindam Ghosh,0,0,7.0,8.0,3.5,50.0,2,2,1,1,1.0,0.0,0.0,0.0,50.0,87.5
Arjun Tendulkar,0,0,13.0,9.0,13.0,144.44,1,1,0,2,0.0,1.0,0.0,0.0,0.0,144.44444444444443
Arjun Yadav,0,0,49.0,39.0,8.166666666666666,104.03166666666668,6,5,1,1,5.0,2.0,0.0,0.0,16.666666666666664,125.64102564102564
Arshad Khan,0,0,18.0,15.0,6.0,88.88666666666666,3,2,0,1,0.0,1.0,0.0,0.0,0.0,120.0
Arshdeep Singh,0,0,25.0,37.0,2.5,56.96,10,4,4,1,3.0,0.0,0.0,0.0,40.0,67.56756756756756
Arun Karthik,0,0,51.0,51.0,6.375,82.5,8,5,1,2,4.0,1.0,0.0,0.0,12.5,100.0
Asad Pathan,0,0,39.0,23.0,5.571428571428571,131.66571428571427,7,5,2,2,5.0,2.0,0.0,0.0,28.57142857142857,169.56521739130434
Ashish Nehra,0,0,41.0,62.0,2.411764705882353,37.64705882352941,17,7,7,1,3.0,1.0,0.0,0.0,41.17647058823529,66.12903225806451
Ashish Reddy,0,0,280.0,193.0,12.173913043478262,137.5604347826087,23,15,0,1,17.0,14.0,0.0,0.0,0.0,145.0777202072539
Ashley Noffke,0,0,9.0,10.0,9.0,90.0,1,1,0,2,1.0,0.0,0.0,0.0,0.0,90.0
Ashok Dinda,0,0,26.0,48.0,1.625,48.958125,16,10,6,2,2.0,0.0,0.0,0.0,37.5,54.166666666666664
Ashok Menaria,0,0,401.0,356.0,17.434782608695652,96.68826086956521,23,21,1,1,24.0,18.0,0.0,0.0,4.3478260869565215,112.64044943820224
Ashton Turner,0,0,3.0,10.0,0.75,10.7125,4,3,3,2,0.0,0.0,0.0,0.0,75.0,30.0
Atharva Taide,2,0,186.0,129.0,26.571428571428573,131.38000000000002,7,7,1,2,20.0,6.0,0.2857142857142857,0.0,14.285714285714285,144.1860465116279
Avesh Khan,0,0,31.0,20.0,4.428571428571429,148.57,7,2,1,2,2.0,3.0,0.0,0.0,14.285714285714285,155.0
Axar Patel,1,0,1418.0,1084.0,14.18,126.6992,100,69,6,2,88.0,69.0,0.01,0.0,6.0,130.81180811808116
Ayush Badoni,2,0,399.0,302.0,17.347826086956523,124.31739130434784,23,18,1,2,24.0,19.0,0.08695652173913043,0.0,4.3478260869565215,132.11920529801324
Azhar Bilakhia,0,0,69.0,85.0,9.857142857142858,81.84285714285714,7,5,0,2,5.0,0.0,0.0,0.0,0.0,81.17647058823529
Azhar Mahmood,2,0,388.0,303.0,18.476190476190474,107.31380952380952,21,19,2,1,39.0,13.0,0.09523809523809523,0.0,9.523809523809524,128.05280528052805
Baba Indrajith,0,0,21.0,30.0,7.0,56.25,3,3,1,2,2.0,0.0,0.0,0.0,33.33333333333333,70.0
Balachandra Akhil,0,0,76.0,55.0,6.909090909090909,115.22909090909091,11,6,2,2,5.0,5.0,0.0,0.0,18.181818181818183,138.1818181818182
Barinder Sran,0,0,10.0,14.0,1.4285714285714286,77.14285714285714,7,1,1,2,0.0,0.0,0.0,0.0,14.285714285714285,71.42857142857143
Basil Thampi,0,0,32.0,35.0,4.571428571428571,73.21428571428571,7,1,1,1,1.0,1.0,0.0,0.0,14.285714285714285,91.42857142857143
Ben Cutting,0,0,238.0,141.0,14.0,147.58764705882353,17,11,1,1,15.0,19.0,0.0,0.0,5.88235294117647,168.79432624113474
Ben Dunk,0,0,40.0,35.0,13.333333333333334,116.59333333333332,3,3,0,2,7.0,0.0,0.0,0.0,0.0,114.28571428571428
Ben Laughlin,0,0,5.0,13.0,1.25,20.8325,4,2,2,2,0.0,0.0,0.0,0.0,50.0,38.46153846153847
Ben Rohrer,1,0,193.0,140.0,24.125,142.32125,8,6,0,2,21.0,5.0,0.125,0.0,0.0,137.85714285714286
Ben Stokes,2,2,935.0,698.0,21.74418604651163,116.10093023255814,43,38,3,2,81.0,32.0,0.046511627906976744,0.046511627906976744,6.976744186046512,133.9541547277937
Beuran Hendricks,0,0,1.0,3.0,0.5,25.0,2,1,1,1,0.0,0.0,0.0,0.0,50.0,33.33333333333333
Bhanuka Rajapaksa,1,0,277.0,191.0,21.307692307692307,132.23538461538462,13,13,1,1,22.0,15.0,0.07692307692307693,0.0,7.6923076923076925,145.0261780104712
Bharat Chipli,1,0,280.0,251.0,13.333333333333334,98.62285714285714,21,15,0,1,28.0,7.0,0.047619047619047616,0.0,0.0,111.55378486055776
Bhargav Bhatt,0,0,6.0,7.0,3.0,150.0,2,1,1,1,0.0,1.0,0.0,0.0,50.0,85.71428571428571
Bhuvneshwar Kumar,0,0,283.0,297.0,4.716666666666667,87.64283333333333,60,32,7,2,27.0,3.0,0.0,0.0,11.666666666666666,95.28619528619528
Billy Stanlake,0,0,5.0,2.0,5.0,250.0,1,0,0,2,1.0,0.0,0.0,0.0,0.0,250.0
Biplab Samantray,1,0,125.0,113.0,15.625,110.02,8,5,1,1,13.0,2.0,0.125,0.0,12.5,110.61946902654867
Bipul Sharma,0,0,187.0,123.0,11.0,133.82529411764708,17,8,0,1,11.0,9.0,0.0,0.0,0.0,152.03252032520325
Bodapati Sumanth,0,0,35.0,37.0,8.75,124.3025,4,1,0,1,3.0,0.0,0.0,0.0,0.0,94.5945945945946
Brad Haddin,0,0,18.0,11.0,18.0,163.63,1,1,0,1,2.0,1.0,0.0,0.0,0.0,163.63636363636365
Brad Hodge,6,0,1400.0,1118.0,22.22222222222222,106.94825396825397,63,42,4,1,122.0,43.0,0.09523809523809523,0.0,6.349206349206349,125.22361359570662
Brad Hogg,0,0,22.0,22.0,5.5,114.545,4,3,0,2,1.0,0.0,0.0,0.0,0.0,100.0
Brendon McCullum,13,2,2880.0,2186.0,26.422018348623855,115.82715596330276,109,104,6,1,293.0,130.0,0.11926605504587157,0.01834862385321101,5.5045871559633035,131.74748398902105
Brett Lee,0,0,124.0,97.0,6.526315789473684,109.10263157894735,19,10,2,1,8.0,8.0,0.0,0.0,10.526315789473683,127.83505154639174
Callum Ferguson,0,0,98.0,117.0,12.25,87.07374999999999,8,6,0,1,9.0,0.0,0.0,0.0,0.0,83.76068376068376
Cameron Green,2,1,452.0,282.0,28.25,140.25,16,9,0,2,40.0,22.0,0.125,0.0625,0.0,160.2836879432624
Cameron White,6,0,954.0,755.0,21.2,104.57911111111112,45,36,4,1,76.0,36.0,0.13333333333333333,0.0,8.88888888888889,126.35761589403972
Carlos Brathwaite,0,0,181.0,111.0,12.928571428571429,149.89142857142858,14,13,0,1,10.0,16.0,0.0,0.0,0.0,163.06306306306305
Chamara Kapugedera,0,0,16.0,23.0,5.333333333333333,51.846666666666664,3,3,1,1,0.0,0.0,0.0,0.0,33.33333333333333,69.56521739130434
Chamara Silva,0,0,40.0,26.0,13.333333333333334,117.14,3,2,1,1,5.0,1.0,0.0,0.0,33.33333333333333,153.84615384615387
Chaminda Vaas,0,0,81.0,73.0,7.363636363636363,92.86545454545454,11,8,3,1,2.0,3.0,0.0,0.0,27.27272727272727,110.95890410958904
Chandan Madan,0,0,15.0,19.0,15.0,78.94,1,1,0,1,3.0,0.0,0.0,0.0,0.0,78.94736842105263
Charl Langeveldt,0,0,8.0,9.0,4.0,50.0,2,2,1,2,0.0,1.0,0.0,0.0,50.0,88.88888888888889
Chetan Sakariya,0,0,20.0,31.0,2.857142857142857,55.885714285714286,7,6,2,1,3.0,0.0,0.0,0.0,28.57142857142857,64.51612903225806
Chetanya Nanda,0,0,0.0,1.0,0.0,0.0,1,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0
Cheteshwar Pujara,1,0,390.0,391.0,17.727272727272727,92.59136363636364,22,19,1,1,50.0,4.0,0.045454545454545456,0.0,4.545454545454546,99.74424552429667
Chidhambaram Gautam,0,0,169.0,150.0,13.0,104.61153846153846,13,10,0,2,17.0,6.0,0.0,0.0,0.0,112.66666666666667
Chris Gayle,31,6,4965.0,3333.0,35.212765957446805,128.7082978723404,141,125,8,1,404.0,357.0,0.2198581560283688,0.0425531914893617,5.673758865248227,148.96489648964896
Chris Jordan,0,0,81.0,77.0,6.75,90.80166666666666,12,10,1,1,3.0,3.0,0.0,0.0,8.333333333333332,105.1948051948052
Chris Lynn,10,0,1329.0,945.0,31.642857142857142,126.06285714285715,42,39,3,2,132.0,66.0,0.23809523809523808,0.0,7.142857142857142,140.63492063492063
Chris Morris,2,0,618.0,398.0,12.612244897959183,116.49795918367346,49,28,10,2,41.0,35.0,0.04081632653061224,0.0,20.408163265306122,155.27638190954772
Chris Woakes,0,0,78.0,77.0,6.5,92.6025,12,6,1,1,7.0,2.0,0.0,0.0,8.333333333333332,101.29870129870129
Clint McKay,0,0,8.0,15.0,8.0,53.33,1,1,0,1,0.0,0.0,0.0,0.0,0.0,53.333333333333336
Colin Ingram,0,0,205.0,180.0,13.666666666666666,109.22800000000001,15,12,0,2,22.0,5.0,0.0,0.0,0.0,113.88888888888889
Colin Munro,0,0,177.0,141.0,16.09090909090909,102.88909090909091,11,11,1,1,19.0,8.0,0.0,0.0,9.090909090909092,125.53191489361701
Colin de Grandhomme,0,0,303.0,225.0,14.428571428571429,107.41095238095238,21,16,3,2,18.0,18.0,0.0,0.0,14.285714285714285,134.66666666666666
Corey Anderson,3,0,538.0,423.0,18.551724137931036,103.23758620689655,29,22,2,1,40.0,31.0,0.10344827586206896,0.0,6.896551724137931,127.18676122931443
D'Arcy Short,0,0,115.0,99.0,16.428571428571427,117.57428571428571,7,7,0,1,11.0,5.0,0.0,0.0,0.0,116.16161616161615
Dale Steyn,0,0,167.0,160.0,5.0606060606060606,95.56666666666666,33,22,5,1,14.0,3.0,0.0,0.0,15.151515151515152,104.375
Damien Martyn,0,0,19.0,24.0,19.0,79.16,1,1,0,1,1.0,0.0,0.0,0.0,0.0,79.16666666666666
Dan Christian,0,0,14.0,24.0,2.0,41.07,7,6,1,1,1.0,0.0,0.0,0.0,14.285714285714285,58.333333333333336
Daniel Christian,0,0,446.0,374.0,13.117647058823529,118.21794117647059,34,25,1,1,22.0,19.0,0.0,0.0,2.941176470588235,119.25133689839573
Daniel Harris,0,0,111.0,101.0,27.75,109.2425,4,4,0,1,11.0,5.0,0.0,0.0,0.0,109.9009900990099
Daniel Sams,0,0,44.0,44.0,3.3846153846153846,122.11769230769231,13,9,4,2,1.0,3.0,0.0,0.0,30.76923076923077,100.0
Daniel Vettori,0,0,121.0,113.0,7.5625,94.89875,16,8,1,2,11.0,2.0,0.0,0.0,6.25,107.07964601769913
Daren Sammy,1,0,295.0,241.0,14.75,120.69200000000001,20,15,2,1,15.0,18.0,0.05,0.0,10.0,122.40663900414938
Darren Bravo,0,0,6.0,5.0,6.0,120.0,1,0,0,2,1.0,0.0,0.0,0.0,0.0,120.0
Darren Lehmann,0,0,18.0,18.0,9.0,78.125,2,2,0,1,3.0,0.0,0.0,0.0,0.0,100.0
Darshan Nalkande,0,0,0.0,1.0,0.0,0.0,1,1,1,2,0.0,0.0,0.0,0.0,100.0,0.0
Daryl Mitchell,0,0,33.0,44.0,16.5,75.83,2,2,0,1,1.0,0.0,0.0,0.0,0.0,75.0
Dasun Shanaka,0,0,26.0,26.0,8.666666666666666,78.27333333333333,3,2,1,2,2.0,1.0,0.0,0.0,33.33333333333333,100.0
David Hussey,5,0,1322.0,1075.0,21.672131147540984,106.86868852459015,61,49,5,1,90.0,60.0,0.08196721311475409,0.0,8.19672131147541,122.97674418604652
David Miller,12,1,2714.0,1961.0,23.80701754385965,125.12535087719299,114,74,3,1,187.0,126.0,0.10526315789473684,0.008771929824561403,2.631578947368421,138.3987761346252
David Warner,61,4,6397.0,4572.0,36.34659090909091,121.78386363636363,176,154,11,2,646.0,226.0,0.3465909090909091,0.022727272727272728,6.25,139.91688538932635
David Wiese,0,0,148.0,101.0,13.454545454545455,149.56727272727272,11,5,0,2,12.0,7.0,0.0,0.0,0.0,146.53465346534654
David Willey,0,0,53.0,62.0,10.6,94.856,5,2,1,2,7.0,0.0,0.0,0.0,20.0,85.48387096774194
Davy Jacobs,0,0,92.0,98.0,13.142857142857142,81.61428571428571,7,7,1,1,10.0,4.0,0.0,0.0,14.285714285714285,93.87755102040816
Dawid Malan,0,0,26.0,26.0,26.0,100.0,1,1,0,1,1.0,1.0,0.0,0.0,0.0,100.0
Debabrata Das,0,0,304.0,261.0,13.818181818181818,123.35136363636364,22,14,1,2,23.0,16.0,0.0,0.0,4.545454545454546,116.47509578544062
Deepak Chahar,0,0,80.0,59.0,6.666666666666667,91.24916666666667,12,7,3,2,2.0,6.0,0.0,0.0,25.0,135.59322033898303
Deepak Hooda,7,0,1320.0,1026.0,15.172413793103448,116.5783908045977,87,72,3,1,80.0,58.0,0.08045977011494253,0.0,3.4482758620689653,128.6549707602339
Devdutt Padikkal,9,1,1521.0,1213.0,26.68421052631579,107.89315789473685,57,55,3,1,166.0,42.0,0.15789473684210525,0.017543859649122806,5.263157894736842,125.39159109645507
Devon Conway,9,0,924.0,654.0,42.0,111.33000000000001,22,19,2,1,99.0,30.0,0.4090909090909091,0.0,9.090909090909092,141.28440366972478
Devraj Patil,0,0,13.0,13.0,6.5,237.5,2,2,0,1,1.0,0.0,0.0,0.0,0.0,100.0
Dewald Brevis,0,0,161.0,113.0,23.0,127.01,7,7,0,2,14.0,11.0,0.0,0.0,0.0,142.47787610619469
Dhawal Kulkarni,0,0,104.0,108.0,5.2,104.797,20,9,0,2,7.0,2.0,0.0,0.0,0.0,96.29629629629629
Dhruv Jurel,0,0,152.0,88.0,13.818181818181818,146.29545454545453,11,7,1,2,11.0,9.0,0.0,0.0,9.090909090909092,172.72727272727272
Dhruv Shorey,0,0,13.0,17.0,6.5,75.69,2,2,0,2,0.0,1.0,0.0,0.0,0.0,76.47058823529412
Dilhara Fernando,0,0,4.0,3.0,2.0,150.0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,133.33333333333331
Dillon du Preez,0,0,10.0,13.0,10.0,76.92,1,1,0,1,0.0,0.0,0.0,0.0,0.0,76.92307692307693
Dimitri Mascarenhas,0,0,79.0,78.0,7.181818181818182,93.40818181818182,11,9,2,2,5.0,1.0,0.0,0.0,18.181818181818183,101.28205128205127
Dinesh Karthik,20,0,4516.0,3403.0,20.527272727272727,118.16018181818183,220,175,18,1,439.0,139.0,0.09090909090909091,0.0,8.181818181818182,132.70643549808992
Dinesh Salunkhe,0,0,33.0,24.0,11.0,143.33333333333334,3,2,0,2,5.0,0.0,0.0,0.0,0.0,137.5
Dirk Nannes,0,0,4.0,13.0,2.0,38.635,2,1,0,2,0.0,0.0,0.0,0.0,0.0,30.76923076923077
Dishant Yagnik,0,0,170.0,137.0,10.0,121.97117647058822,17,10,1,1,23.0,2.0,0.0,0.0,5.88235294117647,124.08759124087592
Doddapaneni Kalyankrishna,0,0,3.0,8.0,3.0,37.5,1,1,0,1,0.0,0.0,0.0,0.0,0.0,37.5
Dominic Thornely,0,0,39.0,53.0,9.75,46.525,4,3,1,1,2.0,2.0,0.0,0.0,25.0,73.58490566037736
Domnic Muthuswami,0,0,1.0,3.0,1.0,33.33,1,1,0,1,0.0,0.0,0.0,0.0,0.0,33.33333333333333
Doug Bollinger,0,0,21.0,23.0,5.25,60.235,4,1,1,1,1.0,1.0,0.0,0.0,25.0,91.30434782608695
Doug Bracewell,0,0,12.0,9.0,12.0,133.33,1,0,0,2,1.0,0.0,0.0,0.0,0.0,133.33333333333331
Dushmantha Chameera,0,0,43.0,28.0,6.142857142857143,109.14857142857143,7,4,2,2,3.0,3.0,0.0,0.0,28.57142857142857,153.57142857142858
Dwaine Pretorius,0,0,44.0,28.0,8.8,123.928,5,4,1,2,3.0,3.0,0.0,0.0,20.0,157.14285714285714
Dwaraka Ravi Teja,1,0,375.0,317.0,15.0,117.66959999999999,25,19,1,1,35.0,9.0,0.04,0.0,4.0,118.29652996845425
Dwayne Bravo,5,0,1560.0,1204.0,14.181818181818182,130.402,110,69,6,1,121.0,66.0,0.045454545454545456,0.0,5.454545454545454,129.56810631229237
Dwayne Smith,17,0,2385.0,1764.0,27.102272727272727,115.79659090909091,88,84,8,1,245.0,117.0,0.19318181818181818,0.0,9.090909090909092,135.20408163265304
Eklavya Dwivedi,0,0,24.0,14.0,12.0,155.555,2,2,0,1,2.0,2.0,0.0,0.0,0.0,171.42857142857142
Eoin Morgan,5,0,1405.0,1146.0,18.986486486486488,104.69243243243243,74,61,5,1,112.0,64.0,0.06756756756756757,0.0,6.756756756756757,122.6003490401396
Evin Lewis,4,0,654.0,477.0,25.153846153846153,113.28423076923076,26,24,2,1,62.0,36.0,0.15384615384615385,0.0,7.6923076923076925,137.1069182389937
Fabian Allen,0,0,14.0,19.0,4.666666666666667,56.27333333333333,3,2,1,2,1.0,0.0,0.0,0.0,33.33333333333333,73.68421052631578
Faf du Plessis,33,0,4133.0,3081.0,33.60162601626016,118.8409756097561,123,112,7,1,374.0,145.0,0.2682926829268293,0.0,5.691056910569105,134.14475819539112
Faiz Fazal,0,0,183.0,173.0,16.636363636363637,88.43727272727273,11,10,1,1,22.0,1.0,0.0,0.0,9.090909090909092,105.78034682080926
Farhaan Behardien,0,0,14.0,13.0,4.666666666666667,76.19,3,2,1,2,2.0,0.0,0.0,0.0,33.33333333333333,107.6923076923077
Farveez Maharoof,0,0,177.0,123.0,12.642857142857142,111.73642857142856,14,10,2,1,12.0,9.0,0.0,0.0,14.285714285714285,143.90243902439025
Fazalhaq Farooqi,0,0,3.0,13.0,1.5,22.5,2,0,0,2,0.0,0.0,0.0,0.0,0.0,23.076923076923077
Fidel Edwards,0,0,4.0,5.0,2.0,91.66499999999999,2,1,0,1,0.0,0.0,0.0,0.0,0.0,80.0
Gautam Gambhir,36,0,4217.0,3404.0,27.927152317880793,106.78635761589403,151,135,11,2,492.0,59.0,0.23841059602649006,0.0,7.28476821192053,123.88366627497062
